CatNo,Category,Keywords,keywordCat,keywordCatNo
569,Events & Listings,Economic crisis,Economics,520
23,Performing Arts,Crisis,Economics,520
47,Autos & Vehicles,Recession,Economics,520
815,Vehicle Brands,Financial crisis,Economics,520
170,Vehicle Licensing & Registration,Krach,Economics,520
249,Health Insurance,Unemployment,Welfare & Unemployment,706
71,Food & Drink,Unemployment benefits,Welfare & Unemployment,706
276,Restaurants,Student loan,Credit & Lending,279
634,Doctors' Offices,Loan,Credit & Lending,279
250,Hospitals & Treatment Centers,Interest,Credit & Lending,279
168,Emergency Services,Mortgage,Credit & Lending,279
437,Mental Health,Auto Financing,Credit & Lending,279
11,Home & Garden,Birthday,Events & Listings,569
29,Real Estate,Temporary jobs,Jobs,60
96,Real Estate Agencies,Affordable housing,Housing & Development,1166
18,Shopping,Lawyer,Legal Services,969
67,Travel,public debt,,0
179,Hotels & Accommodations,office space,,0
5,Computers & Electronics,Housing bubble,,0
68,Apparel,Bankruptcy,,0
78,Consumer Electronics,Exportation,,0
696,Luxury Goods,Commercial Building,,0
329,Business Services,Foreclosure,,0
95,Office Supplies,,,
423,Bankruptcy,,,
279,Credit & Lending,,,
1160,Commercial Lending,,,
813,College Financing,,,
466,Home Financing,,,
468,Auto Financing,,,
46,Agriculture & Forestry,,,
750,Forestry,,,
747,Aquaculture,,,
121,Grocery & Food Retailers,,,
123,Tobacco Products,,,
697,Footwear,,,
1176,Printing & Publishing,,,
1268,Fuel Economy & Gas Prices,,,
288,Chemicals Industry,,,
248,Pharmacy,,,
30,Computer Hardware,,,
287,Industrial Materials & Equipment,,,
612,Entertainment Industry,,,
13,Internet & Telecom,,,
31,Programming,,,
7,Finance,,,
38,Insurance,,,
969,Legal Services,,,
477,Architecture,,,
25,Advertising & Marketing,,,
380,Veterinarians,,,
329,Business Services,,,
1010,Travel Agencies & Services,,,
726,Fire & Security Services,,,
76,Government,,,
74,Education,,,
256,Medical Facilities & Services,,,
508,Social Services,,,
20,Sports,,,
1199,Professional & Trade Associations,,,
78,Consumer Electronics,,,
144,Unwanted Body & Facial Hair Removal,,,
748,Agricultural Equipment,,,
48,Construction & Maintenance,,,
255,Pharmaceuticals & Biotech,,,
50,Transportation & Logistics,,,
664,Distribution & Logistics,,,
60,Jobs,,,
802,Developer Jobs,,,
621,Food Production,,,
1140,Boats & Watercraft,,,
841,Retail Trade,,,
289,Freight & Trucking,,,
665,Maritime Transport,,,
662,Aviation,,,
354,Import & Export,,,
666,Rail Transport,,,
1150,Mail & Package Delivery,,,
277,Alcoholic Beverages,,,
650,Building Materials & Supplies,,,
651,Civil Engineering,,,
652,Construction Consulting & Contracting,,,
158,Home Improvement,,,
1143,Entertainment Media,,,
70,Gifts & Special Event Items,,,
271,Home Appliances,,,
270,Home Furnishings,,,
794,GPS & Navigation,,,
233,Energy & Utilities,,,
473,Vehicle Shopping,,,
1339,Carpooling & Ridesharing,,,
932,Sports Games,,,
882,Animal Products & Services,,,
94,Fitness,,,
293,Weddings,,,
205,Car Rental & Taxi Services,,,
208,Tourist Destinations,,,
11,Home & Garden,,,
569,Events & Listings,,,
121,Grocery & Food Retailers,,,
1081,Timeshares & Vacation Properties,,,
271,Home Appliances,,,
73,Mass Merchants & Department Stores,,,
1188,Car Electronics,,,
185,Fashion & Style,,,
610,Trucks & SUVs,,,
206,Cruises & Charters,,,
1003,Luggage & Travel Accessories,,,
918,Fast Food,,,
355,Book Retailers,,,
145,Spas & Beauty Services,,,
894,Acting & Theater,,,
960,Job Listings,,,
961,Resumes & Portfolios,,,
802,Developer Jobs,,,
378,Apartments & Residential Rentals,,,
465,Home Insurance,,,
1164,Economy News,,,
784,Business News,,,
1209,World News,,,
396,Politics,,,
408,Newspapers,,,
832,Flooring,,,
652,Construction Consulting & Contracting,,,
952,Swimming Pools & Spas,,,
1139,Investment Banking,,,
107,Investing,,,
903,Financial Planning,,,
343,Data Management,,,
77,Enterprise Technology,,,
278,Accounting & Auditing,,,
1300,CAD & CAM,,,
730,Development Tools,,,
341,Customer Relationship Management (CRM),,,
341,Customer Relationship Management (CRM),,,
1176,Printing & Publishing,,,
334,Corporate Events,,,
314,Computer Security,,,
718,Outsourcing,,,
664,Distribution & Logistics,,,
728,Computer Servers,,,
1162,Consulting,,,
53,Web Hosting & Domain Registration,,,
342,Enterprise Resource Planning (ERP),,,
1159,Business Operations,,,
1214,Commercial Vehicles,,,
670,Agrochemicals,,,
12,Business & Industrial,,,
566,Textiles & Nonwovens,,,
672,Coatings & Adhesives,,,
673,Dyes & Pigments,,,
289,Freight & Trucking,,,
49,Manufacturing,,,
