"REF_DATE","GEO","DGUID","Sales, price and volume","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2004-01","Canada","2016A000011124","Retail sales in current prices","Retail trade [44-45]","Dollars","81","millions","6","v115117062","1.1.1","27936","A","","","0"
"2004-01","Canada","2016A000011124","Retail sales Chained Fisher volume index (scaled to equal 100 in 2012)","Retail trade [44-45]","Dollars","81","millions","6","v115117063","1.2.1","30441","A","","","0"
"2004-01","Canada","2016A000011124","Fisher Chained Price Index (scaled to equal 100 in 2012)","Retail trade [44-45]","Index","160","units","0","v115117064","1.3.1","91.8","A","","","1"
"2004-01","Canada","2016A000011124","Retail sales at 2012 constant prices (Unchained Laspeyres Index)","Retail trade [44-45]","Dollars","81","millions","6","v115117065","1.4.1","30860","A","","","0"
"2004-02","Canada","2016A000011124","Retail sales in current prices","Retail trade [44-45]","Dollars","81","millions","6","v115117062","1.1.1","28720","A","","","0"
"2004-02","Canada","2016A000011124","Retail sales Chained Fisher volume index (scaled to equal 100 in 2012)","Retail trade [44-45]","Dollars","81","millions","6","v115117063","1.2.1","31239","A","","","0"
"2004-02","Canada","2016A000011124","Fisher Chained Price Index (scaled to equal 100 in 2012)","Retail trade [44-45]","Index","160","units","0","v115117064","1.3.1","91.9","A","","","1"
"2004-02","Canada","2016A000011124","Retail sales at 2012 constant prices (Unchained Laspeyres Index)","Retail trade [44-45]","Dollars","81","millions","6","v115117065","1.4.1","31544","A","","","0"
"2004-03","Canada","2016A000011124","Retail sales in current prices","Retail trade [44-45]","Dollars","81","millions","6","v115117062","1.1.1","28690","A","","","0"
"2004-03","Canada","2016A000011124","Retail sales Chained Fisher volume index (scaled to equal 100 in 2012)","Retail trade [44-45]","Dollars","81","millions","6","v115117063","1.2.1","31197","A","","","0"
"2004-03","Canada","2016A000011124","Fisher Chained Price Index (scaled to equal 100 in 2012)","Retail trade [44-45]","Index","160","units","0","v115117064","1.3.1","92.0","A","","","1"
"2004-03","Canada","2016A000011124","Retail sales at 2012 constant prices (Unchained Laspeyres Index)","Retail trade [44-45]","Dollars","81","millions","6","v115117065","1.4.1","31505","A","","","0"
"2004-04","Canada","2016A000011124","Retail sales in current prices","Retail trade [44-45]","Dollars","81","millions","6","v115117062","1.1.1","28254","A","","","0"
"2004-04","Canada","2016A000011124","Retail sales Chained Fisher volume index (scaled to equal 100 in 2012)","Retail trade [44-45]","Dollars","81","millions","6","v115117063","1.2.1","30721","A","","","0"
"2004-04","Canada","2016A000011124","Fisher Chained Price Index (scaled to equal 100 in 2012)","Retail trade [44-45]","Index","160","units","0","v115117064","1.3.1","92.0","A","","","1"
"2004-04","Canada","2016A000011124","Retail sales at 2012 constant prices (Unchained Laspeyres Index)","Retail trade [44-45]","Dollars","81","millions","6","v115117065","1.4.1","31036","A","","","0"
"2004-05","Canada","2016A000011124","Retail sales in current prices","Retail trade [44-45]","Dollars","81","millions","6","v115117062","1.1.1","28554","A","","","0"
"2004-05","Canada","2016A000011124","Retail sales Chained Fisher volume index (scaled to equal 100 in 2012)","Retail trade [44-45]","Dollars","81","millions","6","v115117063","1.2.1","30790","A","","","0"
"2004-05","Canada","2016A000011124","Fisher Chained Price Index (scaled to equal 100 in 2012)","Retail trade [44-45]","Index","160","units","0","v115117064","1.3.1","92.7","A","","","1"
"2004-05","Canada","2016A000011124","Retail sales at 2012 constant prices (Unchained Laspeyres Index)","Retail trade [44-45]","Dollars","81","millions","6","v115117065","1.4.1","31025","A","","","0"
"2004-06","Canada","2016A000011124","Retail sales in current prices","Retail trade [44-45]","Dollars","81","millions","6","v115117062","1.1.1","28551","A","","","0"
"2004-06","Canada","2016A000011124","Retail sales Chained Fisher volume index (scaled to equal 100 in 2012)","Retail trade [44-45]","Dollars","81","millions","6","v115117063","1.2.1","30745","A","","","0"
"2004-06","Canada","2016A000011124","Fisher Chained Price Index (scaled to equal 100 in 2012)","Retail trade [44-45]","Index","160","units","0","v115117064","1.3.1","92.9","A","","","1"
"2004-06","Canada","2016A000011124","Retail sales at 2012 constant prices (Unchained Laspeyres Index)","Retail trade [44-45]","Dollars","81","millions","6","v115117065","1.4.1","31027","A","","","0"
"2004-07","Canada","2016A000011124","Retail sales in current prices","Retail trade [44-45]","Dollars","81","millions","6","v115117062","1.1.1","28616","A","","","0"
"2004-07","Canada","2016A000011124","Retail sales Chained Fisher volume index (scaled to equal 100 in 2012)","Retail trade [44-45]","Dollars","81","millions","6","v115117063","1.2.1","30876","A","","","0"
"2004-07","Canada","2016A000011124","Fisher Chained Price Index (scaled to equal 100 in 2012)","Retail trade [44-45]","Index","160","units","0","v115117064","1.3.1","92.7","A","","","1"
"2004-07","Canada","2016A000011124","Retail sales at 2012 constant prices (Unchained Laspeyres Index)","Retail trade [44-45]","Dollars","81","millions","6","v115117065","1.4.1","31137","A","","","0"
"2004-08","Canada","2016A000011124","Retail sales in current prices","Retail trade [44-45]","Dollars","81","millions","6","v115117062","1.1.1","28837","A","","","0"
"2004-08","Canada","2016A000011124","Retail sales Chained Fisher volume index (scaled to equal 100 in 2012)","Retail trade [44-45]","Dollars","81","millions","6","v115117063","1.2.1","31187","A","","","0"
"2004-08","Canada","2016A000011124","Fisher Chained Price Index (scaled to equal 100 in 2012)","Retail trade [44-45]","Index","160","units","0","v115117064","1.3.1","92.5","A","","","1"
"2004-08","Canada","2016A000011124","Retail sales at 2012 constant prices (Unchained Laspeyres Index)","Retail trade [44-45]","Dollars","81","millions","6","v115117065","1.4.1","31430","A","","","0"
"2004-09","Canada","2016A000011124","Retail sales in current prices","Retail trade [44-45]","Dollars","81","millions","6","v115117062","1.1.1","29244","A","","","0"
"2004-09","Canada","2016A000011124","Retail sales Chained Fisher volume index (scaled to equal 100 in 2012)","Retail trade [44-45]","Dollars","81","millions","6","v115117063","1.2.1","31587","A","","","0"
"2004-09","Canada","2016A000011124","Fisher Chained Price Index (scaled to equal 100 in 2012)","Retail trade [44-45]","Index","160","units","0","v115117064","1.3.1","92.6","A","","","1"
"2004-09","Canada","2016A000011124","Retail sales at 2012 constant prices (Unchained Laspeyres Index)","Retail trade [44-45]","Dollars","81","millions","6","v115117065","1.4.1","31829","A","","","0"
"2004-10","Canada","2016A000011124","Retail sales in current prices","Retail trade [44-45]","Dollars","81","millions","6","v115117062","1.1.1","29561","A","","","0"
"2004-10","Canada","2016A000011124","Retail sales Chained Fisher volume index (scaled to equal 100 in 2012)","Retail trade [44-45]","Dollars","81","millions","6","v115117063","1.2.1","31698","A","","","0"
"2004-10","Canada","2016A000011124","Fisher Chained Price Index (scaled to equal 100 in 2012)","Retail trade [44-45]","Index","160","units","0","v115117064","1.3.1","93.3","A","","","1"
"2004-10","Canada","2016A000011124","Retail sales at 2012 constant prices (Unchained Laspeyres Index)","Retail trade [44-45]","Dollars","81","millions","6","v115117065","1.4.1","31908","A","","","0"
"2004-11","Canada","2016A000011124","Retail sales in current prices","Retail trade [44-45]","Dollars","81","millions","6","v115117062","1.1.1","29901","A","","","0"
"2004-11","Canada","2016A000011124","Retail sales Chained Fisher volume index (scaled to equal 100 in 2012)","Retail trade [44-45]","Dollars","81","millions","6","v115117063","1.2.1","31906","A","","","0"
"2004-11","Canada","2016A000011124","Fisher Chained Price Index (scaled to equal 100 in 2012)","Retail trade [44-45]","Index","160","units","0","v115117064","1.3.1","93.7","A","","","1"
"2004-11","Canada","2016A000011124","Retail sales at 2012 constant prices (Unchained Laspeyres Index)","Retail trade [44-45]","Dollars","81","millions","6","v115117065","1.4.1","32147","A","","","0"
"2004-12","Canada","2016A000011124","Retail sales in current prices","Retail trade [44-45]","Dollars","81","millions","6","v115117062","1.1.1","29594","A","","","0"
"2004-12","Canada","2016A000011124","Retail sales Chained Fisher volume index (scaled to equal 100 in 2012)","Retail trade [44-45]","Dollars","81","millions","6","v115117063","1.2.1","31572","A","","","0"
"2004-12","Canada","2016A000011124","Fisher Chained Price Index (scaled to equal 100 in 2012)","Retail trade [44-45]","Index","160","units","0","v115117064","1.3.1","93.7","A","","","1"
"2004-12","Canada","2016A000011124","Retail sales at 2012 constant prices (Unchained Laspeyres Index)","Retail trade [44-45]","Dollars","81","millions","6","v115117065","1.4.1","31835","A","","","0"
"2005-01","Canada","2016A000011124","Retail sales in current prices","Retail trade [44-45]","Dollars","81","millions","6","v115117062","1.1.1","29889","A","","","0"
"2005-01","Canada","2016A000011124","Retail sales Chained Fisher volume index (scaled to equal 100 in 2012)","Retail trade [44-45]","Dollars","81","millions","6","v115117063","1.2.1","32150","A","","","0"
"2005-01","Canada","2016A000011124","Fisher Chained Price Index (scaled to equal 100 in 2012)","Retail trade [44-45]","Index","160","units","0","v115117064","1.3.1","93.0","A","","","1"
"2005-01","Canada","2016A000011124","Retail sales at 2012 constant prices (Unchained Laspeyres Index)","Retail trade [44-45]","Dollars","81","millions","6","v115117065","1.4.1","32464","A","","","0"
"2005-02","Canada","2016A000011124","Retail sales in current prices","Retail trade [44-45]","Dollars","81","millions","6","v115117062","1.1.1","30461","A","","","0"
"2005-02","Canada","2016A000011124","Retail sales Chained Fisher volume index (scaled to equal 100 in 2012)","Retail trade [44-45]","Dollars","81","millions","6","v115117063","1.2.1","32646","A","","","0"
"2005-02","Canada","2016A000011124","Fisher Chained Price Index (scaled to equal 100 in 2012)","Retail trade [44-45]","Index","160","units","0","v115117064","1.3.1","93.3","A","","","1"
"2005-02","Canada","2016A000011124","Retail sales at 2012 constant prices (Unchained Laspeyres Index)","Retail trade [44-45]","Dollars","81","millions","6","v115117065","1.4.1","32878","A","","","0"
"2005-03","Canada","2016A000011124","Retail sales in current prices","Retail trade [44-45]","Dollars","81","millions","6","v115117062","1.1.1","30006","A","","","0"
"2005-03","Canada","2016A000011124","Retail sales Chained Fisher volume index (scaled to equal 100 in 2012)","Retail trade [44-45]","Dollars","81","millions","6","v115117063","1.2.1","32090","A","","","0"
"2005-03","Canada","2016A000011124","Fisher Chained Price Index (scaled to equal 100 in 2012)","Retail trade [44-45]","Index","160","units","0","v115117064","1.3.1","93.5","A","","","1"
"2005-03","Canada","2016A000011124","Retail sales at 2012 constant prices (Unchained Laspeyres Index)","Retail trade [44-45]","Dollars","81","millions","6","v115117065","1.4.1","32332","A","","","0"
"2005-04","Canada","2016A000011124","Retail sales in current prices","Retail trade [44-45]","Dollars","81","millions","6","v115117062","1.1.1","29940","A","","","0"
"2005-04","Canada","2016A000011124","Retail sales Chained Fisher volume index (scaled to equal 100 in 2012)","Retail trade [44-45]","Dollars","81","millions","6","v115117063","1.2.1","31943","A","","","0"
"2005-04","Canada","2016A000011124","Fisher Chained Price Index (scaled to equal 100 in 2012)","Retail trade [44-45]","Index","160","units","0","v115117064","1.3.1","93.7","A","","","1"
"2005-04","Canada","2016A000011124","Retail sales at 2012 constant prices (Unchained Laspeyres Index)","Retail trade [44-45]","Dollars","81","millions","6","v115117065","1.4.1","32146","A","","","0"
"2005-05","Canada","2016A000011124","Retail sales in current prices","Retail trade [44-45]","Dollars","81","millions","6","v115117062","1.1.1","29936","A","","","0"
"2005-05","Canada","2016A000011124","Retail sales Chained Fisher volume index (scaled to equal 100 in 2012)","Retail trade [44-45]","Dollars","81","millions","6","v115117063","1.2.1","32064","A","","","0"
"2005-05","Canada","2016A000011124","Fisher Chained Price Index (scaled to equal 100 in 2012)","Retail trade [44-45]","Index","160","units","0","v115117064","1.3.1","93.4","A","","","1"
"2005-05","Canada","2016A000011124","Retail sales at 2012 constant prices (Unchained Laspeyres Index)","Retail trade [44-45]","Dollars","81","millions","6","v115117065","1.4.1","32256","A","","","0"
"2005-06","Canada","2016A000011124","Retail sales in current prices","Retail trade [44-45]","Dollars","81","millions","6","v115117062","1.1.1","30591","A","","","0"
"2005-06","Canada","2016A000011124","Retail sales Chained Fisher volume index (scaled to equal 100 in 2012)","Retail trade [44-45]","Dollars","81","millions","6","v115117063","1.2.1","32639","A","","","0"
