,Ecommerce_GrowthRate,Fitted Value,Predicted Value,0.025,0.975,Mean (Prediction invertal)
2016-02-01,0.030098301470121713,,,,,
2016-03-01,-0.05307318623896051,-0.02215402249562723,,,,
2016-04-01,0.011637812557045546,0.01699063149214487,,,,
2016-05-01,-0.028947016371817735,0.003808858605802697,,,,
2016-06-01,-0.0022341691176313017,0.01568236899578174,,,,
2016-07-01,0.047753656850131776,0.031784681481140775,,,,
2016-08-01,0.028324968408062645,0.021923333430601325,,,,
2016-09-01,0.10131172164956648,0.0671523656884102,,,,
2016-10-01,0.0019213456997035916,0.004590054657182992,,,,
2016-11-01,-0.0034067746559013345,0.003545310340593818,,,,
2016-12-01,0.11824175387372793,0.07743872245346983,,,,
2017-01-01,-0.0016932844629032884,0.0051426066306257505,,,,
2017-02-01,-0.022158472488033487,-0.007313242793916325,,,,
2017-03-01,0.03297380815043294,0.012252679650317833,,,,
2017-04-01,0.021644820489073346,0.018131113981783815,,,,
2017-05-01,-0.01970806468561359,-0.02951474104719787,,,,
2017-06-01,0.016786898779440174,0.01842332984334041,,,,
2017-07-01,0.07243441927136818,0.056909576090696974,,,,
2017-08-01,-0.004377406216254265,-0.0013424653871622497,,,,
2017-09-01,-0.007727114309271754,-0.0018129604513310524,,,,
2017-10-01,0.026606875268252006,0.02182097636446706,,,,
2017-11-01,0.05624395575303809,0.04073417671161258,,,,
2017-12-01,-0.06802504466636672,-0.015397042688173629,,,,
2018-01-01,0.06287731384870421,0.05348903436306839,,,,
2018-02-01,-0.02724284967660051,-0.01469292104849098,,,,
2018-03-01,0.014419718271822646,0.014070427507433715,,,,
2018-04-01,-0.0038069456792146905,0.0026370714938255936,,,,
2018-05-01,0.0222151584049306,0.02214609902548145,,,,
2018-06-01,0.0382244524769082,0.01139542317171262,,,,
2018-07-01,8.481837271978598e-05,0.011632256933693092,,,,
2018-08-01,0.06451082833355981,0.06289442171767091,,,,
2018-09-01,-0.03827780084240162,-0.018662652166184675,,,,
2018-10-01,0.09541324186136824,0.05455380511032074,,,,
2018-11-01,0.05218422437981651,0.04559292009071876,,,,
2018-12-01,-0.1872497678069861,-0.12463875403953553,,,,
2019-01-01,0.13848580507025443,0.11113492213667543,,,,
2019-02-01,0.011675997147755357,0.012599165500164418,,,,
2019-03-01,0.014719282091580022,0.011547694450404522,,,,
2019-04-01,0.009245077006839075,0.03635919262143205,,,,
2019-05-01,0.03877657649003474,0.03418238336088747,,,,
2019-06-01,0.10363456846371721,0.08685375259128839,,,,
2019-07-01,0.03496313417973229,0.01705286279863734,,,,
2019-08-01,-0.005917565795709456,0.0005197331072919648,,,,
2019-09-01,0.013499682421758807,0.02498380360348978,,,,
2019-10-01,-0.03809078619269024,-0.031883631057004785,,,,
2019-11-01,-0.006608348025060051,0.006838010868380294,,,,
2019-12-01,0.05004333000025629,0.044107136807133365,,,,
2020-01-01,-0.027625062141617418,0.0048288465466046005,,,,
2020-02-01,0.08556162623739882,0.05592820091496218,,,,
2020-03-01,0.1951649309450989,0.13007651501164988,,,,
2020-04-01,0.5269037136360715,0.3362346443443311,,,,
2020-05-01,0.0063996349439741085,0.03058833662845093,,,,
2020-06-01,-0.10647647615372291,-0.06991478575413966,,,,
2020-07-01,-0.003275024533787585,0.019948613012820443,,,,
2020-08-01,0.012321766568652137,0.007105784373699667,,,,
2020-09-01,-0.012087968582010666,0.0083826309315587,,,,
2020-10-01,-0.023846438405444648,-0.004518999638266351,,,,
2020-11-01,-0.0006217559535450778,0.0070472884459575474,-0.0006217559535450778,,,
2020-12-01,0.04339112457959704,,0.035740292315856535,-0.0656318628558412,0.1383204909323308,0.034501880596042395
2021-01-01,0.21812643979326718,,0.029806485230946565,-0.03805418662751967,0.08031283626884046,0.019617315847930902
2021-02-01,-0.021830999247962057,,0.0628808762020072,-0.09942268896847374,0.1647314756740358,0.03897064794113745
2021-03-01,-0.007303460655753713,,0.02418645599788879,-0.0036204052631471635,0.06465257724630603,0.02911756209465204
2021-04-01,-0.01002969656509256,,0.01397224336872305,0.0014311086096920119,0.035933249940545586,0.017475137574858652
2021-05-01,-0.014225406888493941,,0.034243575006430334,-0.0038212663117992013,0.0842792734219808,0.03540009049845984
2021-06-01,-0.03708902106436296,,0.030388354134315662,-0.0008309700658778285,0.07689466119998659,0.032311454794923845
2021-07-01,-0.12839175397411262,,0.020223323535217812,-0.005852869034809825,0.044920667066868473,0.02057994927217592
2021-08-01,0.0223588486364541,,0.017863833032640032,-0.01144570882307251,0.042731437176193036,0.016372106253265073
2021-09-01,0.018691735604656534,,0.01793676515469071,0.0049961273680293105,0.045743426749116634,0.02055527353777615
2021-10-01,-0.0032429095088902793,,-0.00968206040412244,-0.024140727368617797,0.018047495808396444,-0.0045950255832441726
2021-11-01,-0.027531743753541504,,0.022777716396365416,0.005786137461755672,0.04065709085453852,0.020006065523609718
2021-12-01,-0.07177888785381548,,-0.00013581623982682146,-0.05110439887776879,0.035013704636938474,0.0031596262867606144
2022-01-01,0.04869482551865101,,-0.0014454615167242676,-0.018890649439871104,0.032147261756543165,0.0024298242088295753
2022-02-01,-0.04627905775374941,,0.009159601319017607,-0.0194547083703127,0.04708631961048489,0.014086682253346522
2022-03-01,,,0.014590546830539397,-0.009952034600085142,0.04004860667981631,0.019661824647393012
2022-04-01,,,0.005460138381306872,-0.01744512971126793,0.04178090475573919,0.004728981483771382
2022-05-01,,,0.016634308605294485,-0.0054181473540183414,0.03440762836861907,0.015526456019322881
2022-06-01,,,0.05690594827790329,-0.019590456290004443,0.11696549058484386,0.045801619958150006
