,Actual Ecommerce,Fitted Ecommerce,Predicted Ecommerce,0.025,0.975,Mean (Prediction invertal)
2016-02-01,1006610.0,,,,,
2016-03-01,953186.0,984309.5394156766,,,,
2016-04-01,964279.0,1001033.5800740912,,,,
2016-05-01,936366.0,1004846.3754402539,,,,
2016-06-01,934274.0,1020604.7470839818,,,,
2016-07-01,978889.0,1053044.3438881864,,,,
2016-08-01,1006616.0,1076130.5861564558,,,,
2016-09-01,1108598.0,1148395.3008065172,,,,
2016-10-01,1110728.0,1153666.4980052714,,,,
2016-11-01,1106944.0,1157756.6037702463,,,,
2016-12-01,1237831.0,1247411.7960782822,,,,
2017-01-01,1235735.0,1253826.744251915,,,,
2017-02-01,1208353.0,1244657.204849695,,,,
2017-03-01,1248197.0,1259907.5908551782,,,,
2017-04-01,1275214.0,1282751.1189914881,,,,
2017-05-01,1250082.0,1244891.051886451,,,,
2017-06-01,1271067.0,1267826.090354378,,,,
2017-07-01,1363136.0,1339977.5357131716,,,,
2017-08-01,1357169.0,1338178.6622519018,,,,
2017-09-01,1346682.0,1335752.597260424,,,,
2017-10-01,1382513.0,1364900.023114019,,,,
2017-11-01,1460271.0,1420498.1018492295,,,,
2017-12-01,1360936.0,1398626.6319365874,,,,
2018-01-01,1446508.0,1473437.819913346,,,,
2018-02-01,1407101.0,1451788.7143554986,,,,
2018-03-01,1427391.0,1472216.002216948,,,,
2018-04-01,1421957.0,1476098.3410691482,,,,
2018-05-01,1453546.0,1508788.1611018144,,,,
2018-06-01,1509107.0,1525981.4406740395,,,,
2018-07-01,1509235.0,1543732.048868007,,,,
2018-08-01,1606597.0,1640824.1833685958,,,,
2018-09-01,1545100.0,1610202.0523685236,,,,
2018-10-01,1692523.0,1698044.7013216745,,,,
2018-11-01,1780846.0,1775463.5176995022,,,,
2018-12-01,1447383.0,1554171.9570107854,,,,
2019-01-01,1647825.0,1726894.7364401836,,,,
2019-02-01,1667065.0,1748652.1690259564,,,,
2019-03-01,1691603.0,1768845.0699739053,,,,
2019-04-01,1707242.0,1833158.8485905568,,,,
2019-05-01,1773443.0,1895820.5871144822,,,,
2019-06-01,1957233.0,2060479.7193451948,,,,
2019-07-01,2025664.0,2095616.797298563,,,,
2019-08-01,2013677.0,2096705.958728316,,,,
2019-09-01,2040861.0,2149089.648615451,,,,
2019-10-01,1963123.0,2080568.867150568,,,,
2019-11-01,1950150.0,2094795.8196765573,,,,
2019-12-01,2047742.0,2187191.265478042,,,,
2020-01-01,1991173.0,2197752.8764671097,,,,
2020-02-01,2161541.0,2320669.2409035983,,,,
2020-03-01,2583398.0,2622533.8082550694,,,,
2020-04-01,3944600.0,3504320.530554697,,,,
2020-05-01,3969844.0,3611511.8665972957,,,,
2020-06-01,3547149.0,3359013.788195613,,,,
2020-07-01,3535532.0,3426021.454361055,,,,
2020-08-01,3579096.0,3450366.0240754136,,,,
2020-09-01,3535832.0,3479289.169034027,,,,
2020-10-01,3451515.0,3463566.2625377383,,,,
2020-11-01,3449369.0,3487975.013041529,3449369.0,3449369.0,3449369.0,3449369.0
2020-12-01,3599041.0,,3572650.456365254,3222980.48685281,3926487.4134867624,3568378.717369689
2021-01-01,4384087.0,,3706315.762412071,3462082.422105905,3888090.1905578435,3669644.5240466525
2021-02-01,4288378.0,,4659762.231905829,3948209.281788271,5106284.120993357,4554937.711020316
2021-03-01,4257058.0,,4392098.665799314,4272852.333718435,4565632.689906359,4413245.112700338
2021-04-01,4214361.0,,4316538.6504107695,4263150.31235576,4410027.929125399,4331450.674214153
2021-05-01,4154410.0,,4358675.787007675,4198256.80428494,4569544.283017932,4363549.760793179
2021-06-01,4000327.0,,4280655.682299143,4150957.8096486167,4473861.949435837,4288645.030914579
2021-07-01,3486718.0,,4081226.9071676675,3976913.6099725864,4180024.3573256047,4082653.5267321155
2021-08-01,3564677.0,,3549004.1481839004,3446810.041023834,3635710.4711681013,3543802.91757117
2021-09-01,3631307.0,,3628615.7742013275,3582486.580317884,3727737.541233761,3637949.9108088193
2021-10-01,3619531.0,,3596148.4662800874,3543644.6077212463,3696842.997861501,3614621.0514343875
2021-11-01,3519879.0,,3701975.6506058527,3640474.103913086,3766690.6007178193,3691943.574350738
2021-12-01,3267226.0,,3519400.9432695745,3339997.699582518,3643123.003663762,3531000.5022146166
2022-01-01,3426323.0,,3262503.350550559,3205505.9789931676,3372258.369439784,3275164.7848305167
2022-02-01,3267756.0,,3457706.7526701805,3359664.885252505,3587655.9398667556,3474588.5233983356
2022-03-01,,,3315434.346948776,3235235.179223364,3398625.07476961,3332006.045462465
2022-04-01,,,3333537.077277254,3226138.7250711895,3476372.0356857814,3347639.7151035424
2022-05-01,,,3388988.161767875,3248729.119114028,3528795.954451682,3399793.4417349417
2022-06-01,,,3581841.746815864,3296886.7414277066,3839700.47615004,3555013.4766335357
