,Actual GDP,Fitted GDP,Predicted GDP,0.025,0.975,Mean (Prediction invertal)
2004-04-01,1585347.0,1581471.4322446536,,,,
2004-07-01,1604061.0,1595253.6999145262,,,,
2004-10-01,1615585.0,1607447.7439228387,,,,
2005-01-01,1621176.0,1609819.1832756423,,,,
2005-04-01,1632938.0,1617924.7466277124,,,,
2005-07-01,1652719.0,1633259.8575425916,,,,
2005-10-01,1669060.0,1644522.772403002,,,,
2006-01-01,1682596.0,1654852.8647171974,,,,
2006-04-01,1683465.0,1667657.5377320726,,,,
2006-07-01,1688166.0,1673085.6855927878,,,,
2006-10-01,1694895.0,1680485.7860492547,,,,
2007-01-01,1705736.0,1689048.5541388693,,,,
2007-04-01,1722263.0,1700468.2531213048,,,,
2007-07-01,1729494.0,1714557.595821615,,,,
2007-10-01,1731459.0,1716473.5580324945,,,,
2008-01-01,1732786.0,1719781.3284671775,,,,
2008-04-01,1739053.0,1723795.9238235173,,,,
2008-07-01,1753314.0,1738711.9253666268,,,,
2008-10-01,1732984.0,1740252.1292557907,,,,
2009-01-01,1693824.0,1722675.494458866,,,,
2009-04-01,1675340.0,1718031.3081292224,,,,
2009-07-01,1682878.0,1720011.8920083113,,,,
2009-10-01,1702503.0,1723703.797530189,,,,
2010-01-01,1723041.0,1742078.7336834646,,,,
2010-04-01,1732057.0,1750144.115991636,,,,
2010-07-01,1744332.0,1761505.648052759,,,,
2010-10-01,1763825.0,1766128.566284056,,,,
2011-01-01,1777148.0,1793954.4091888703,,,,
2011-04-01,1780610.0,1795787.2926339984,,,,
2011-07-01,1805176.0,1802504.4985853308,,,,
2011-10-01,1819392.0,1823919.8192521124,,,,
2012-01-01,1820558.0,1828939.7716446284,,,,
2012-04-01,1826496.0,1838045.4845298836,,,,
2012-07-01,1828984.0,1844935.2546195567,,,,
2012-10-01,1832766.0,1849366.2456808758,,,,
2013-01-01,1849206.0,1858791.2537408848,,,,
2013-04-01,1859938.0,1870229.3278959156,,,,
2013-07-01,1875096.0,1885103.7174085192,,,,
2013-10-01,1894795.0,1893209.0745328655,,,,
2014-01-01,1897892.0,1905102.129741458,,,,
2014-04-01,1915226.0,1911010.8663576914,,,,
2014-07-01,1933594.0,1927039.30194942,,,,
2014-10-01,1946974.0,1941208.892040074,,,,
2015-01-01,1936275.0,1948591.3180650603,,,,
2015-04-01,1931005.0,1943840.9599846846,,,,
2015-07-01,1937835.0,1953250.3482323482,,,,
2015-10-01,1939286.0,1958452.13597122,,,,
2016-01-01,1949923.0,1965314.282517518,,,,
2016-04-01,1940335.0,1973262.5011562572,,,,
2016-07-01,1960344.0,1976605.6899382782,,,,
2016-10-01,1971351.0,1994196.7581198798,,,,
2017-01-01,1992778.0,2003653.3392945172,,,,
2017-04-01,2013165.0,2018797.3615982835,,,,
2017-07-01,2021658.0,2031020.0743828176,,,,
2017-10-01,2032130.0,2048446.9790995927,,,,
2018-01-01,2049916.0,2055135.9561607828,,,,
2018-04-01,2066010.0,2067650.4744941124,2066010.0,2066010.0,2066010.0,2066010.0
2018-07-01,2080268.0,,2077106.0038705252,2079585.1812972154,2081665.955718372,2080625.5685077938
2018-10-01,2087359.0,,2098201.9897139887,2095430.521143325,2096585.5674064825,2096008.0442749038
2019-01-01,2089251.0,,2093348.4190034845,2092401.9133393404,2098776.881553325,2095589.3974463325
2019-04-01,2109950.0,,2095403.4002219718,2091801.5954162097,2098653.9848678824,2095227.790142046
2019-07-01,2116842.0,,2122279.184176353,2124013.329626681,2127434.324111755,2125723.8268692177
2019-10-01,2123207.0,,2131920.124638452,2128011.166959949,2131885.4755315655,2129948.321245757
2020-01-01,2077403.0,,2134587.2525716363,2130097.4853546387,2136384.924629776,2133241.2049922072
2020-04-01,1848005.0,,2064466.5836595339,2034206.278113385,2036637.847449364,2035422.0627813744
2020-07-01,2014029.0,,1905014.8633271628,1890015.436299657,1924724.0782712155,1907369.7572854361
2020-10-01,2058185.0,,2043600.291748825,2058863.0551393065,2066361.609062441,2062612.3321008738
2021-01-01,2080680.0,,2046752.1291038964,2034684.0586549072,2040509.422344218,2037596.7404995626
2021-04-01,2064200.0,,2102475.7235909896,2103721.841825927,2111826.649068935,2107774.2454474308
2021-07-01,2091196.0,,2066894.279514305,2052359.5362341583,2073548.4956986974,2062954.015966428
2021-10-01,2124709.0,,2131479.343870244,2144272.7225027704,2156382.2452554055,2150327.483879088
2022-01-01,2140751.0,,2116717.6028355863,2104606.002647386,2118523.1784787816,2111564.590563084
2022-04-01,,,2163537.053463863,2165653.4541958626,2175291.672920527,2170472.563558195
