,Actual Retail Sales,Fitted Retail Sales,Predicted Retail Sales,0.025,0.975,Mean (Prediction invertal)
2004-02-01,28719948.0,,,,,
2004-03-01,28689514.0,28771742.28117746,,,,
2004-04-01,28254086.0,28542468.16594459,,,,
2004-05-01,28554094.0,28788574.41854921,,,,
2004-06-01,28550528.0,28809370.134923305,,,,
2004-07-01,28616168.0,28857584.1054577,,,,
2004-08-01,28836665.0,29002919.000044074,,,,
2004-09-01,29243662.0,29274519.224562135,,,,
2004-10-01,29561177.0,29502553.374879062,,,,
2004-11-01,29901036.0,29725000.8225948,,,,
2004-12-01,29593609.0,29640025.38019208,,,,
2005-01-01,29888781.0,29826863.025804453,,,,
2005-02-01,30460620.0,30245427.8113937,,,,
2005-03-01,30006264.0,29993080.739152722,,,,
2005-04-01,29940271.0,30013004.670081686,,,,
2005-05-01,29935878.0,30020698.53953548,,,,
2005-06-01,30590992.0,30325162.911400955,,,,
2005-07-01,30800241.0,30476472.74014731,,,,
2005-08-01,30647393.0,30437698.724724416,,,,
2005-09-01,30600008.0,30480741.678719502,,,,
2005-10-01,30887481.0,30683936.75251752,,,,
2005-11-01,31012789.0,30712819.111936796,,,,
2005-12-01,31230056.0,30896716.182625573,,,,
2006-01-01,31747679.0,31279318.68348484,,,,
2006-02-01,31744450.0,31319976.18339682,,,,
2006-03-01,31871717.0,31415701.92619251,,,,
2006-04-01,32354405.0,31761655.412346832,,,,
2006-05-01,32048264.0,31640361.7487667,,,,
2006-06-01,32242363.0,31859460.63056598,,,,
2006-07-01,33040218.0,32405632.981415544,,,,
2006-08-01,33007575.0,32413175.74734028,,,,
2006-09-01,32492838.0,32114732.89197791,,,,
2006-10-01,32595465.0,32191930.5148638,,,,
2006-11-01,32814138.0,32332654.62606941,,,,
2006-12-01,33515367.0,32845112.795754094,,,,
2007-01-01,33221023.0,32725813.53773308,,,,
2007-02-01,33466188.0,32920081.201334823,,,,
2007-03-01,33910296.0,33237826.09702914,,,,
2007-04-01,34385868.0,33527890.558216892,,,,
2007-05-01,34789277.0,33836878.695912525,,,,
2007-06-01,34436278.0,33629113.290704384,,,,
2007-07-01,34430726.0,33708438.27324144,,,,
2007-08-01,34725483.0,33924968.62685798,,,,
2007-09-01,34341226.0,33712642.06875155,,,,
2007-10-01,34305870.0,33724212.06667334,,,,
2007-11-01,34958995.0,34190265.3977979,,,,
2007-12-01,35625285.0,34529064.27088676,,,,
2008-01-01,35933156.0,34808536.580699034,,,,
2008-02-01,35526909.0,34620237.976348855,,,,
2008-03-01,35530142.0,34630172.69908106,,,,
2008-04-01,35914167.0,34936926.37669538,,,,
2008-05-01,36006888.0,35050331.04691854,,,,
2008-06-01,36400129.0,35334018.818406485,,,,
2008-07-01,36403867.0,35370112.11821183,,,,
2008-08-01,36137537.0,35202694.58196287,,,,
2008-09-01,36390521.0,35430973.55926918,,,,
2008-10-01,35747571.0,35067675.32135191,,,,
2008-11-01,34661690.0,34469358.95664923,,,,
2008-12-01,33303365.0,33741210.98588046,,,,
2009-01-01,33790507.0,34117826.102400675,,,,
2009-02-01,33861903.0,34198278.01899262,,,,
2009-03-01,33838239.0,34196348.77108726,,,,
2009-04-01,33932693.0,34302528.75667628,,,,
2009-05-01,34366762.0,34609945.60713401,,,,
2009-06-01,34752611.0,34929463.69241145,,,,
2009-07-01,34734947.0,34957527.11865479,,,,
2009-08-01,34958551.0,35130672.14279681,,,,
2009-09-01,35271163.0,35359737.31695735,,,,
2009-10-01,35442041.0,35534011.43423912,,,,
2009-11-01,35094920.0,35379266.13795447,,,,
2009-12-01,35671435.0,35726305.71511989,,,,
2010-01-01,36091102.0,35993520.1421228,,,,
2010-02-01,36048207.0,36018256.705051355,,,,
2010-03-01,36872345.0,36576454.16017233,,,,
2010-04-01,36394220.0,36293478.35537476,,,,
