date,Uber,DoorDash,SkipTheDishes,Walmart,Costco,Real Canadian Superstore,alibaba,newegg canada,ebay,kijiji,Canadian Tire,Home Depot,Best Buy,Shopify,Apple,Gap,Old Navy,Joe Fresh,Sephora,eventbrite,Sportchek,square online,PayPal,Western Union,TD Canada Trust,Scotiabank,Royal Bank of Canada,Google Pay,Apple Pay,Mastercard
2004-01-01,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,53,39,0,0,80,0,0,0
2004-02-01,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,100,0,0,0,0,0,0,48,45,46,0,0,0,0,0
2004-03-01,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,42,22,56,0,100,0,0,100
2004-04-01,0,0,0,0,0,0,0,0,23,0,0,0,0,0,19,0,0,0,0,0,0,0,44,47,23,0,0,0,0,40
2004-05-01,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,87,0,0,0,0,0,0,48,39,20,0,0,0,0,0
2004-06-01,0,0,0,10,30,0,28,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,47,38,21,28,0,0,0,37
2004-07-01,0,0,0,0,31,0,29,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,49,74,0,0,0,0,0,39
2004-08-01,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,44,39,40,18,0,0,0,70
2004-09-01,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,44,55,0,16,64,0,0,16
2004-10-01,0,0,0,0,0,0,0,0,72,0,49,0,0,0,0,0,0,0,0,0,0,0,55,44,36,8,0,0,0,47
2004-11-01,0,0,0,8,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,49,23,70,8,0,0,0,46
2004-12-01,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,45,46,34,23,0,0,0,15
2005-01-01,0,0,0,0,0,0,37,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,52,27,70,0,0,0,0,0
