date,841_no frills,841_walmart,841_superstore,841_sobeys,841_costco,47_honda,47_ford,47_dodge,47_nissan,47_toyota,1190_wolseley,1190_gm,1190_chrysler,1190_ford,1190_automotive,1191_bikes,1191_bmx,1191_velo,1191_bicycle,1191_bike,1140_canoe,1140_boat,1140_kayak,1140_bateau,1140_sail,1213_trailers,1213_roulotte,1213_trailer,1213_camper,1213_rv,1013_vintage,1013_cars,1013_encan,1013_classic cars,1013_tucker,1214_trailers,1214_trucks,1214_trailer,1214_truck,1214_hebdo,806_lamborghini,806_spartan,806_mclaren,806_bugatti,806_performance,810_electric car,810_hybrid,810_motor,810_toyota,810_prius,1317_buddy,1317_smart car,1317_morris,1317_smart,1317_door lock,273_yamaha,273_harley davidson,273_motorcycles,273_harley,273_motorcycle,148_ski doo,148_arctic cat,148_polaris,148_arctic,148_atv,1147_plane,1147_aircraft,1147_cessna,1147_titan,1147_airplane,1212_scooter,1212_scooters,1212_yamaha,1212_roller,1212_vespa,610_vans,610_truck,610_ford,610_suv,610_dodge,815_honda,815_ford,815_bmw,815_dodge,815_toyota,1294_points,1294_permis de conduire,1294_speeding ticket,1294_speeding,1294_driving test,170_driving school,170_driving,170_change address,170_license,170_plate,138_tools,138_auto repair,138_apk,138_mechanic,138_automotive,89_tires,89_auto parts,89_rims,89_tire,89_garmin,473_used,473_cars,473_auto,473_autotrader,473_car,803_auto show,803_2010,803_home show,803_convention centre,803_car show,121_super,121_super c,121_circulaire,121_iga,121_grocery,276_pizza,276_restaurant,276_tim hortons,276_pizza pizza,276_restaurants,650_portail,650_doors,650_air conditioner,650_wood,650_home depot,73_sears,73_walmart,73_walmart canada,73_canadian tire,73_store,355_books,355_renaud,355_livres,355_librairie,355_livre,1146_eb games,1146_ebgames,1146_eb,1146_game,1146_games,18_walmart,18_netflix,18_kijiji,18_canadian tire,18_amazon,1225_outlet,1225_costco hours,1225_outlets,1225_wholesale,1225_costco,270_ikea,270_ikea canada,270_lighting,270_furniture,270_light,659_gas station,659_gas,659_shell,659_oil,659_alberta,1268_gas prices,1268_gas costco,1268_gas,1268_costco,1268_gas buddy,38_saaq,38_blue cross,38_assurance,38_insurance,38_desjardins,844_barcode,844_display,844_pos,844_rfid,844_scanner,614_ticketmaster,614_cineplex,614_vancouver,614_ticket,614_centre bell
2004-01-01,3,13,15,9,9,69,53,57,78,61,59,16,12,67,74,40,39,7,37,14,15,36,20,24,29,23,6,22,7,18,36,79,36,88,19,43,79,30,45,51,36,9,84,37,75,3,16,89,25,36,31,4,45,11,42,59,54,78,54,67,32,62,71,62,66,14,94,100,17,29,23,24,27,25,13,18,55,52,37,33,70,65,4,63,68,41,13,13,23,5,36,53,30,19,22,70,29,0,38,85,24,61,51,19,12,85,100,63,38,84,99,0,43,93,70,10,3,0,7,9,14,36,11,14,24,2,47,0,72,19,56,12,19,19,30,64,30,55,81,48,12,25,13,46,18,11,1,0,12,6,15,0,8,74,10,18,23,80,87,31,4,57,79,52,51,3,0,4,0,0,10,68,40,62,21,51,100,63,64,100,40,19,66,69,61
2004-02-01,8,8,13,5,10,66,51,57,74,56,30,11,34,47,91,45,55,14,45,19,13,38,16,20,45,47,13,28,22,27,54,100,45,100,27,63,100,36,53,56,60,4,62,43,71,8,22,73,21,20,26,27,25,38,21,74,54,79,59,77,18,72,97,74,76,27,74,64,11,47,28,31,42,41,36,28,71,45,40,50,67,61,5,65,64,35,7,60,63,26,26,45,33,22,21,67,36,0,16,65,22,50,64,19,15,74,87,67,43,84,56,0,87,95,100,12,6,1,8,8,13,35,11,13,28,2,47,1,73,14,46,9,14,16,35,77,31,46,56,41,12,16,13,31,14,9,0,0,11,6,17,1,8,62,10,15,18,73,81,27,7,60,78,54,70,4,0,5,0,0,13,75,41,61,26,58,95,78,100,51,74,15,83,74,59
2004-03-01,4,10,13,6,11,86,62,65,80,67,9,12,15,52,62,61,60,19,67,33,22,31,32,26,31,42,16,37,21,29,33,70,78,77,28,76,84,42,43,100,63,24,29,7,100,2,22,76,43,71,21,9,60,21,78,90,72,98,77,79,16,60,63,60,84,17,65,47,8,28,46,52,77,57,61,46,81,52,35,50,85,70,5,73,70,34,25,57,87,19,32,48,21,20,11,93,11,0,29,76,24,84,77,20,23,89,97,68,45,90,24,0,80,66,47,9,4,0,7,9,17,34,12,17,24,0,48,3,83,14,37,11,19,17,33,79,34,57,45,27,14,21,13,11,16,11,0,0,12,6,27,1,7,58,10,17,20,70,86,27,9,66,85,64,73,7,0,7,0,0,14,80,49,67,21,43,80,74,85,73,56,33,73,57,61
2004-04-01,5,14,13,7,12,91,65,64,84,67,15,15,54,59,54,92,79,20,73,33,35,39,34,27,55,62,20,39,22,33,45,85,71,83,26,74,92,44,53,73,42,8,47,32,68,8,35,93,39,43,45,19,52,21,21,89,58,96,56,93,4,21,32,22,94,11,82,43,14,39,64,59,71,30,42,33,86,54,31,51,83,74,5,74,70,34,27,91,66,15,36,52,47,25,25,81,23,0,30,64,31,68,93,24,19,88,99,77,62,98,10,0,55,32,38,7,2,1,7,8,19,31,15,19,20,1,64,5,78,21,45,9,11,19,35,81,33,48,46,27,14,20,15,35,15,10,0,0,15,6,25,0,9,55,12,16,17,70,81,28,9,62,78,54,49,8,1,8,1,0,16,64,50,74,29,46,93,63,64,50,54,32,65,90,61
2004-05-01,5,10,14,7,13,91,59,61,79,70,33,8,15,48,74,81,72,31,89,43,31,36,42,34,47,57,25,50,19,37,55,54,63,69,30,80,78,51,58,61,75,19,71,26,79,11,52,92,50,56,37,44,28,43,55,95,64,98,67,95,2,24,27,23,92,19,67,58,14,47,75,100,90,40,66,31,71,46,25,68,85,66,5,66,74,30,71,40,55,45,38,49,57,26,24,72,31,0,34,100,31,64,78,22,21,87,97,79,58,95,4,0,10,72,27,7,1,1,5,10,16,33,13,16,22,1,56,13,85,18,44,10,13,26,27,69,27,38,54,28,14,25,16,29,18,10,0,0,17,6,17,0,10,71,12,14,15,69,74,23,8,69,86,59,56,28,0,27,0,2,16,72,43,73,27,71,85,74,77,52,42,21,68,44,24
2004-06-01,6,12,16,6,12,85,55,58,75,62,20,9,23,65,86,94,87,27,100,44,23,56,45,31,50,72,25,50,23,34,49,63,53,85,31,79,70,64,61,58,42,16,43,27,80,7,29,88,37,49,26,13,19,20,76,100,74,100,73,96,4,20,29,20,84,16,67,50,9,35,89,73,81,51,70,26,79,43,26,38,75,63,5,70,67,37,37,42,57,47,48,71,51,27,23,74,24,0,42,67,23,61,77,18,24,93,89,69,45,93,4,0,14,33,40,8,3,0,4,6,14,30,13,14,21,1,59,13,75,20,50,11,14,28,40,79,15,33,59,17,17,19,18,32,21,11,1,0,19,6,24,1,13,66,14,15,17,77,75,26,9,57,74,55,62,11,0,10,0,2,15,66,42,75,34,52,59,73,79,69,44,36,93,79,22
2004-07-01,5,13,17,7,15,89,57,55,80,77,14,13,52,44,100,100,70,28,96,49,27,72,49,46,81,85,34,61,38,45,60,74,51,70,22,74,59,47,45,68,49,18,59,43,84,4,23,65,33,42,35,23,43,19,20,88,68,96,62,100,3,14,23,14,83,18,58,55,20,33,93,79,85,24,76,47,72,45,30,47,88,68,5,63,85,59,32,100,75,74,42,65,50,32,33,68,45,0,27,75,28,61,75,23,21,100,92,76,59,100,3,0,15,12,42,10,4,1,4,11,14,32,13,14,19,1,57,12,75,23,58,13,19,24,34,93,26,28,60,20,21,31,22,32,24,12,0,0,19,7,34,0,15,90,14,21,27,76,89,29,8,47,69,50,61,8,0,7,0,0,19,86,46,70,26,50,55,88,73,56,36,26,100,57,19
2004-08-01,6,13,17,12,14,86,62,59,84,70,39,8,18,40,74,89,76,24,82,36,32,64,50,34,63,85,37,53,26,49,78,67,47,72,16,100,84,54,54,76,48,12,62,16,65,7,16,44,24,35,27,23,42,34,0,79,67,98,73,84,7,22,33,23,74,5,100,66,14,32,66,84,95,40,75,45,83,60,34,59,78,75,4,65,77,54,29,40,61,49,44,68,41,28,30,75,38,0,20,49,27,80,68,23,19,99,92,75,46,98,4,0,14,32,36,6,3,1,3,7,17,32,15,17,22,3,68,3,70,21,51,12,15,22,44,100,22,42,57,23,25,50,26,19,30,12,1,0,16,7,33,1,17,90,17,24,27,71,99,27,10,48,69,51,65,5,0,6,0,0,22,84,43,75,29,100,72,89,63,73,36,34,60,57,52
2004-09-01,5,11,15,10,12,78,65,60,77,66,35,11,20,50,55,73,61,15,58,31,15,44,36,16,48,61,16,36,18,26,85,59,36,45,9,51,56,45,39,52,56,9,56,17,66,4,24,77,24,37,29,49,44,50,17,73,41,81,48,80,10,30,34,31,75,20,76,48,15,42,68,82,60,32,53,34,88,47,25,34,69,76,5,73,72,71,32,52,62,20,35,61,60,22,23,74,33,0,32,83,29,61,66,26,22,78,86,71,52,85,7,0,52,97,24,6,2,0,4,9,15,32,14,16,23,1,52,2,84,16,51,11,14,18,38,100,35,40,100,30,27,59,30,47,30,11,0,0,15,7,23,0,13,77,11,19,24,84,86,25,6,49,85,52,65,6,0,6,0,2,13,80,48,65,33,73,80,59,51,73,52,17,86,63,42
2004-10-01,9,12,16,12,16,77,62,56,75,63,23,8,23,53,66,56,69,12,44,24,14,30,10,18,39,32,5,20,12,24,56,50,73,45,29,52,77,38,43,56,53,7,52,31,69,13,28,84,18,42,26,100,60,100,16,69,43,68,53,69,14,43,52,43,84,12,64,57,16,42,46,60,70,16,33,22,60,37,28,39,72,71,5,66,67,38,26,36,49,52,36,53,39,23,15,81,32,0,42,65,50,58,66,36,19,82,86,65,53,83,5,0,50,57,22,12,6,1,4,9,19,33,15,19,22,2,55,1,76,13,54,14,18,23,39,69,30,49,83,33,29,60,30,33,30,14,0,0,14,6,25,0,14,73,13,17,20,83,79,24,8,67,90,65,69,7,0,6,0,1,13,76,39,61,27,63,68,77,62,66,59,13,72,65,35
