date,Uber,DoorDash,SkipTheDishes,Walmart,Costco,Real Canadian Superstore,alibaba,newegg canada,ebay,kijiji,Canadian Tire,Home Depot,Best Buy,Shopify,Apple,Gap,Old Navy,Joe Fresh,Sephora,eventbrite,Sportchek,square online,PayPal,Western Union,TD Canada Trust,Scotiabank,Royal Bank of Canada,Google Pay,Apple Pay,Mastercard
2004-01-01,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,53,38,0,0,80,0,0,0
2004-02-01,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,100,0,0,0,0,0,0,49,42,47,0,0,0,0,0
2004-03-01,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,41,22,58,0,100,0,0,100
2004-04-01,0,0,0,0,0,0,0,0,23,0,0,0,0,0,20,0,0,0,0,0,0,0,44,47,23,0,0,0,0,40
2004-05-01,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,87,0,0,0,0,0,0,49,39,21,0,0,0,0,0
2004-06-01,0,0,0,10,31,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,48,38,21,29,0,0,0,37
2004-07-01,0,0,0,0,33,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,50,74,0,0,0,0,0,19
2004-08-01,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,44,41,41,18,0,0,0,70
2004-09-01,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,44,54,0,17,64,0,0,16
2004-10-01,0,0,0,0,0,0,0,0,72,0,48,0,0,0,0,0,0,0,0,0,0,0,56,44,37,16,0,0,0,47
2004-11-01,0,0,0,8,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,49,23,72,8,0,0,0,46
2004-12-01,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,45,46,35,16,0,0,0,15
2005-01-01,0,0,0,0,0,0,20,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,53,27,72,0,0,0,0,0
2005-02-01,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,45,28,31,0,0,0,0,13
2005-03-01,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,55,0,0,0,0,0,0,54,45,13,6,0,0,0,22
2005-04-01,0,0,0,0,0,0,21,0,52,0,0,0,0,0,13,0,0,0,0,0,0,0,50,40,75,14,52,0,0,52
2005-05-01,0,0,0,0,0,0,19,0,34,0,35,0,0,0,0,0,0,0,0,0,0,0,42,34,54,6,0,0,0,35
2005-06-01,0,0,0,0,0,0,0,0,41,0,36,0,0,0,0,0,0,0,0,0,0,0,57,32,14,6,0,0,0,12
2005-07-01,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,63,41,0,13,100,0,0,0
2005-08-01,0,0,0,0,0,0,0,0,54,0,0,99,0,0,0,0,0,0,0,0,0,0,53,40,14,6,47,0,0,23
2005-09-01,0,0,0,0,0,0,17,0,66,0,31,0,0,0,10,0,0,0,0,0,0,0,58,37,36,16,0,0,0,21
2005-10-01,0,0,0,0,0,0,0,0,81,0,0,0,42,0,9,0,0,0,0,0,0,0,56,25,44,5,0,0,0,38
2005-11-01,0,0,0,5,0,0,15,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,65,55,33,10,37,0,0,9
2005-12-01,0,0,0,5,0,0,0,0,44,28,0,0,0,0,0,0,0,0,0,0,0,0,57,59,22,5,38,0,0,10
2006-01-01,0,0,0,0,0,0,13,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,57,29,28,4,65,9,0,32
2006-02-01,0,0,0,0,0,0,14,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,64,32,30,13,0,0,0,43
2006-03-01,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,64,57,44,4,30,0,0,38
2006-04-01,0,0,0,0,0,0,13,0,65,0,0,0,0,0,0,39,0,0,0,0,0,0,63,36,28,13,64,9,0,32
2006-05-01,0,0,0,0,0,0,0,0,49,0,23,0,0,1,0,0,0,0,0,0,0,0,66,47,27,8,62,0,0,39
2006-06-01,0,0,0,4,0,0,13,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,70,51,37,4,0,0,0,48
2006-07-01,0,0,0,0,0,0,0,0,80,0,0,0,0,1,8,0,0,0,0,0,0,0,73,59,19,13,33,9,0,16
2006-08-01,0,0,0,8,0,0,12,0,48,0,23,0,0,0,15,0,0,0,0,0,0,0,70,44,35,0,60,17,0,23
2006-09-01,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,63,40,49,22,0,8,0,21
2006-10-01,0,0,0,0,0,0,0,0,69,0,38,0,0,0,6,0,0,0,0,0,0,61,68,45,66,3,0,0,0,6
2006-11-01,0,0,0,3,10,0,0,0,90,0,73,0,0,0,0,30,0,0,0,0,0,0,67,28,42,16,24,14,0,12
2006-12-01,0,0,0,0,22,0,0,0,56,19,0,0,0,0,0,0,0,0,0,0,0,0,71,60,61,10,26,22,0,20
2007-01-01,0,0,0,3,9,0,9,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,67,35,45,9,44,13,0,22
2007-02-01,0,0,0,0,0,0,0,0,44,0,0,0,26,1,0,0,0,0,0,0,0,0,72,45,34,9,0,7,0,6
2007-03-01,0,0,0,6,0,0,0,0,62,0,16,0,0,0,5,0,0,0,0,0,0,0,71,46,18,13,41,0,6,47
2007-04-01,0,0,0,3,0,0,17,0,43,0,16,0,24,0,5,0,0,0,0,0,0,0,65,47,19,14,21,6,0,27
2007-05-01,0,0,0,3,17,0,8,0,35,0,15,0,23,0,5,25,0,0,0,0,0,0,63,51,36,8,0,12,0,31
2007-06-01,0,0,0,0,18,0,0,0,52,0,0,0,48,0,5,0,0,0,0,0,0,0,71,50,31,11,86,12,0,22
2007-07-01,0,0,0,11,0,0,0,0,43,0,16,0,24,1,0,0,0,0,0,0,0,0,69,50,68,17,21,6,0,48
2007-08-01,0,0,0,0,0,0,0,0,43,15,0,0,22,0,5,0,0,0,0,0,0,0,67,44,52,16,40,6,0,25
2007-09-01,12,0,0,0,0,0,16,0,56,0,0,0,22,0,0,0,81,0,0,0,0,0,76,43,46,13,0,17,0,24
2007-10-01,0,0,0,2,15,0,0,0,70,0,13,0,0,1,0,0,0,0,0,0,0,0,75,51,36,11,0,5,0,26
2007-11-01,0,0,0,0,7,0,0,0,75,0,13,0,19,0,4,0,0,0,0,0,0,0,85,39,25,4,17,10,0,42
2007-12-01,0,0,0,10,0,0,8,0,62,14,0,0,21,0,0,0,0,0,0,0,0,0,83,56,38,17,0,11,0,24
2008-01-01,0,0,0,7,0,0,0,0,80,0,0,36,19,0,4,0,0,0,0,23,0,0,80,45,15,11,17,5,0,38
2008-02-01,11,0,0,7,7,0,35,0,100,0,0,0,39,0,0,0,0,0,0,0,0,0,76,46,51,9,52,10,0,17
2008-03-01,0,0,0,4,36,0,7,0,48,0,13,0,19,0,0,0,0,0,0,0,0,0,79,38,49,17,50,5,0,29
2008-04-01,0,0,0,2,14,0,7,0,49,0,0,0,19,0,0,0,0,0,0,0,0,0,75,34,44,7,17,5,0,21
2008-05-01,0,0,0,5,7,0,7,0,71,0,0,0,38,0,0,0,0,0,0,0,0,0,76,49,30,7,69,15,0,17
2008-06-01,11,0,0,5,8,0,0,0,71,27,14,0,0,1,0,0,0,0,0,0,0,0,78,46,58,14,18,5,0,5
2008-07-01,0,0,0,2,0,0,0,0,73,0,27,38,20,0,0,22,0,0,0,0,0,0,85,51,47,24,18,0,0,27
2008-08-01,0,0,0,0,8,0,0,0,81,13,14,0,20,0,4,22,0,0,0,0,0,0,74,53,11,19,18,0,0,46
2008-09-01,0,0,0,0,0,0,14,0,38,24,13,0,37,1,8,21,0,0,0,0,0,0,73,57,49,11,17,0,0,33
2008-10-01,0,0,0,6,0,0,12,0,62,11,0,0,0,0,4,0,0,0,0,0,0,0,77,43,36,14,0,4,0,42
2008-11-01,0,0,0,8,0,0,0,0,82,23,24,0,18,0,0,0,0,0,0,0,0,0,70,43,60,8,32,9,0,32
2008-12-01,0,0,0,9,0,0,7,0,60,35,12,0,18,0,0,20,67,0,0,0,0,0,77,64,42,11,16,0,0,16
2009-01-01,0,0,0,2,0,0,0,0,58,21,0,0,0,1,0,0,0,0,0,0,0,35,74,51,38,11,14,4,0,25
2009-02-01,0,0,0,0,0,0,6,0,58,11,12,0,17,0,4,0,0,0,0,0,0,0,72,54,9,6,0,9,0,31
2009-03-01,0,0,0,5,0,0,6,0,49,20,10,29,15,1,0,0,0,0,0,0,0,0,76,42,63,14,14,0,0,24
2009-04-01,0,0,0,8,12,0,6,0,45,21,11,0,16,0,0,0,59,0,0,0,0,0,66,55,54,15,14,0,0,21
2009-05-01,9,0,0,4,6,0,18,0,44,11,0,0,0,1,0,0,0,0,0,0,0,0,64,61,25,13,0,4,0,18
2009-06-01,0,0,0,13,25,100,6,0,54,10,22,0,16,1,0,0,0,0,0,0,0,0,66,56,59,17,14,8,0,25
2009-07-01,0,0,0,4,18,0,0,0,44,0,0,30,0,1,0,0,0,0,0,0,0,0,67,72,51,15,0,4,0,43
2009-08-01,0,0,0,11,0,0,6,0,77,50,0,0,31,0,0,17,0,0,0,0,0,0,70,69,36,18,14,4,0,38
2009-09-01,0,0,0,12,11,0,11,0,45,19,10,55,43,0,3,0,0,0,0,18,0,0,67,66,38,15,13,11,0,29
2009-10-01,0,0,0,11,0,0,0,100,63,17,9,0,0,1,3,29,49,0,0,0,0,0,62,59,35,12,24,10,0,24
2009-11-01,0,0,0,16,15,0,0,0,68,26,0,25,13,1,0,30,100,0,0,0,0,0,64,46,42,17,12,14,0,30
2009-12-01,0,0,0,14,5,0,0,0,53,0,19,27,14,1,0,0,0,0,0,0,100,31,66,76,41,10,13,4,0,38
2010-01-01,0,0,0,12,0,0,0,0,54,25,26,24,38,1,6,0,0,0,0,0,0,0,69,63,43,24,11,0,3,43
2010-02-01,0,0,0,13,36,0,15,0,43,26,0,0,27,1,15,0,50,0,0,0,0,0,61,65,42,9,12,3,0,36
2010-03-01,0,0,0,12,14,0,4,0,60,36,8,0,61,1,5,0,43,0,27,0,0,0,69,68,74,12,22,3,0,38
2010-04-01,7,0,0,14,10,0,0,0,32,31,35,0,13,1,12,0,91,0,0,0,0,0,66,60,91,24,12,3,0,20
2010-05-01,0,0,0,16,10,0,0,0,33,48,0,23,13,1,9,15,0,0,0,0,0,0,63,55,53,16,12,14,0,36
2010-06-01,0,0,0,8,11,0,5,0,68,16,9,24,14,1,6,0,0,0,0,0,0,0,74,55,69,23,12,0,0,28
