date,Uber,DoorDash,SkipTheDishes,Walmart,Costco,Real Canadian Superstore,alibaba,newegg canada,ebay,kijiji,Canadian Tire,Home Depot,Best Buy,Shopify,Apple,Gap,Old Navy,Joe Fresh,Sephora,eventbrite,Sportchek,square online,PayPal,Western Union,TD Canada Trust,Scotiabank,Royal Bank of Canada,Google Pay,Apple Pay,Mastercard
2004-01-01,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,54,40,0,0,80,0,0,0
2004-02-01,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,100,0,0,0,0,0,0,48,44,46,0,0,0,0,0
2004-03-01,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,43,23,56,0,100,0,0,100
2004-04-01,0,0,0,0,0,0,0,0,24,0,0,0,0,0,19,0,0,0,0,0,0,0,43,46,22,0,0,0,0,40
2004-05-01,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,87,0,0,0,0,0,0,48,38,20,0,0,0,0,0
2004-06-01,0,0,0,10,33,0,29,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,48,39,21,20,0,0,0,37
2004-07-01,0,0,0,0,35,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,51,71,0,0,0,0,0,39
2004-08-01,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,45,43,39,19,0,0,0,70
2004-09-01,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,45,54,0,17,64,0,0,16
2004-10-01,0,0,0,0,0,0,0,0,76,0,48,0,0,0,0,0,0,0,0,0,0,0,54,43,35,8,0,0,0,47
2004-11-01,0,0,0,8,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,50,21,69,0,0,0,0,46
2004-12-01,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,45,48,33,8,0,0,0,15
2005-01-01,0,0,0,0,0,0,38,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,54,28,69,0,0,0,0,0
2005-02-01,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,44,28,30,0,0,0,0,13
2005-03-01,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,55,0,0,0,0,0,0,53,45,13,6,0,0,0,22
2005-04-01,0,0,0,0,0,0,0,0,47,0,0,0,0,0,12,0,0,0,0,0,0,0,50,42,58,14,52,0,0,65
2005-05-01,0,0,0,0,0,0,18,0,35,0,36,0,0,0,0,0,0,0,0,0,0,0,40,32,52,13,0,0,0,35
2005-06-01,0,0,0,0,0,0,0,0,36,0,36,0,0,0,0,0,0,0,0,0,0,0,57,33,13,0,0,0,0,12
2005-07-01,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,62,36,0,13,100,0,0,0
2005-08-01,0,0,0,0,0,0,0,0,57,0,0,94,0,0,0,0,0,0,0,0,0,0,53,41,13,6,47,0,0,23
2005-09-01,0,0,0,0,0,0,16,0,50,0,32,0,0,0,10,0,0,0,0,0,0,0,58,38,35,17,0,0,0,21
2005-10-01,0,0,0,0,0,0,0,0,86,0,0,0,42,0,9,0,0,0,0,0,0,0,55,25,42,5,0,0,0,38
2005-11-01,0,0,0,5,0,0,15,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,66,57,21,10,37,0,0,19
2005-12-01,0,0,0,5,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,56,60,21,5,38,0,0,10
2006-01-01,0,0,0,0,0,0,13,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,58,30,27,4,65,0,0,32
2006-02-01,0,0,0,0,0,0,13,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,64,30,29,14,0,0,0,52
2006-03-01,0,0,0,0,0,0,24,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,64,54,42,4,30,0,0,38
2006-04-01,0,0,0,0,0,0,13,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,63,36,27,9,64,9,0,32
2006-05-01,0,0,0,0,0,0,12,0,47,0,24,62,0,1,0,0,0,0,75,0,0,0,66,46,26,8,62,0,0,39
2006-06-01,0,0,0,4,0,0,13,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,69,48,45,4,0,0,0,48
2006-07-01,0,0,0,0,0,0,0,0,69,0,0,0,0,1,8,0,0,0,0,0,0,0,73,61,27,13,33,9,0,16
2006-08-01,0,0,0,8,0,0,23,0,36,0,23,0,0,0,14,0,0,0,0,0,0,0,71,44,42,0,60,8,0,23
2006-09-01,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,62,38,47,19,0,8,0,21
2006-10-01,0,0,0,0,0,0,0,0,61,18,39,0,0,0,6,0,0,0,0,0,0,63,68,46,64,3,0,0,0,6
2006-11-01,0,0,0,3,11,0,0,0,85,0,37,49,0,0,0,0,0,0,0,0,0,0,68,28,41,13,24,14,0,12
2006-12-01,0,0,0,0,23,0,0,0,55,18,0,0,0,0,0,0,0,0,0,0,0,0,72,60,58,10,26,22,0,20
2007-01-01,0,0,0,3,10,0,9,0,59,16,0,0,0,0,0,0,0,0,0,0,0,0,67,35,43,9,44,12,0,27
2007-02-01,0,0,0,0,0,0,0,0,32,0,0,0,26,1,0,0,0,0,0,0,0,0,72,47,40,10,0,7,0,6
2007-03-01,0,0,0,6,0,0,0,0,59,0,16,0,0,0,5,0,0,0,0,0,0,0,71,48,17,11,41,0,6,47
2007-04-01,0,0,0,3,0,0,17,0,42,0,16,0,0,0,5,0,0,0,0,0,0,0,66,44,18,12,21,6,0,27
2007-05-01,0,0,0,3,18,0,0,0,31,0,16,0,23,0,5,25,0,0,0,0,0,0,62,50,40,11,0,11,0,31
2007-06-01,0,0,0,0,10,0,8,0,49,0,0,0,48,0,5,0,0,0,0,0,0,0,71,49,24,3,86,6,0,22
2007-07-01,0,0,0,6,0,0,0,0,42,15,16,0,24,1,0,0,0,0,0,0,0,0,68,50,59,11,21,6,0,42
2007-08-01,0,0,0,0,0,0,8,0,45,14,0,0,22,0,5,0,0,0,0,0,0,0,68,42,50,13,40,6,0,25
2007-09-01,11,0,0,0,0,0,15,0,59,14,0,0,0,0,0,0,81,0,0,0,0,0,75,42,44,13,0,5,0,25
2007-10-01,0,0,0,2,16,0,0,0,69,0,13,0,0,1,0,0,0,0,0,0,0,0,76,49,44,12,0,5,0,26
2007-11-01,0,0,0,0,8,0,0,0,72,0,13,0,19,0,4,0,0,0,0,0,0,0,85,38,28,5,17,5,0,51
2007-12-01,0,0,0,10,0,0,15,0,68,13,0,0,21,0,0,0,0,0,0,0,0,0,82,58,37,23,0,5,0,24
2008-01-01,0,0,0,7,0,0,0,0,77,0,0,34,19,0,4,0,0,0,0,22,0,0,80,47,14,7,17,5,0,42
2008-02-01,10,0,0,5,8,0,20,0,100,0,0,0,39,0,0,0,0,0,0,0,0,0,76,45,44,5,52,5,0,22
2008-03-01,0,0,0,5,38,0,7,0,45,0,13,0,19,0,0,0,0,0,0,0,0,0,80,38,47,13,50,5,0,29
2008-04-01,0,0,0,0,15,0,7,0,46,24,0,0,19,0,0,0,0,0,0,0,0,0,74,35,43,5,17,5,0,17
2008-05-01,0,0,0,5,8,0,0,0,70,24,0,0,38,0,0,0,0,0,0,0,0,0,76,50,29,7,69,10,0,21
2008-06-01,0,0,0,5,8,0,0,0,69,26,14,0,0,1,0,0,0,0,0,0,0,0,79,46,56,15,18,5,0,5
