date,841,47,1190,1191,1140,1213,1013,1214,806,810,1317,273,148,1147,1212,610,815,1294,170,138,89,473,803,121,276,650,73,355,1146,18,1225,270,659,1268,38,844,614
2004-01-01,49,91,100,51,57,48,86,78,100,90,49,90,99,100,42,95,94,85,90,75,75,77,81,33,57,79,48,96,38,86,54,90,82,16,91,93,83
2004-02-01,49,89,79,57,57,59,100,91,86,83,56,85,100,94,49,92,93,92,88,68,78,74,78,32,58,76,42,83,32,82,49,84,89,15,92,100,90
2004-03-01,44,94,64,77,67,64,81,94,89,87,54,100,76,84,60,100,97,84,87,74,87,83,57,29,61,80,44,90,29,81,50,88,89,23,93,80,86
2004-04-01,47,93,88,93,72,71,90,99,92,90,57,90,56,93,66,97,96,100,88,81,91,85,36,31,56,79,46,80,32,81,53,79,81,21,94,91,92
2004-05-01,48,94,59,95,73,76,90,90,91,98,58,95,49,85,82,92,96,92,98,78,91,84,31,28,53,81,45,79,33,80,50,74,81,41,92,91,68
2004-06-01,47,90,70,97,84,74,75,89,79,75,39,94,46,90,78,84,89,76,100,76,83,73,32,24,54,78,46,78,34,80,51,74,80,20,90,83,78
2004-07-01,46,90,65,100,100,85,75,80,80,69,43,90,45,91,85,90,92,73,94,73,82,75,35,29,53,75,48,77,39,78,56,79,69,16,85,85,77
2004-08-01,50,93,61,89,97,92,73,100,76,70,53,90,51,93,100,94,94,74,89,78,92,78,39,29,54,76,53,93,46,81,61,85,74,17,92,84,73
2004-09-01,51,88,67,80,66,62,80,82,82,71,59,94,54,82,91,86,93,81,91,76,89,70,51,29,50,75,48,100,54,81,53,81,79,16,89,87,77
2004-10-01,50,85,66,64,54,54,79,76,81,97,100,81,68,82,74,89,90,88,84,77,96,73,41,29,54,77,52,86,52,88,57,81,90,18,85,82,78
2004-11-01,53,84,89,52,49,43,77,84,85,84,60,67,73,87,55,86,88,100,92,70,100,69,35,31,58,78,64,92,54,89,56,90,91,17,88,93,82
2004-12-01,59,77,58,48,40,37,66,72,76,72,61,68,89,72,56,79,79,77,80,60,89,60,25,32,55,63,71,93,56,100,56,77,74,13,73,80,71
2005-01-01,53,84,73,50,56,48,75,79,77,85,61,74,96,96,50,86,88,89,84,69,88,68,75,30,63,72,50,97,55,84,47,78,86,17,86,80,68
2005-02-01,52,86,71,55,60,56,80,87,82,79,64,79,84,90,51,97,94,91,86,69,88,70,62,30,66,73,46,77,46,84,50,78,84,15,89,96,88
2005-03-01,52,91,80,72,66,71,77,96,80,85,67,84,78,94,67,98,95,90,86,70,96,72,60,31,66,68,52,75,57,82,55,76,89,18,85,90,95
2005-04-01,48,100,74,93,66,75,71,96,77,91,73,95,55,86,89,89,100,80,95,83,100,78,42,26,57,76,50,76,42,80,51,73,86,25,86,77,78
2005-05-01,50,89,74,88,73,78,78,91,80,79,72,84,50,87,80,88,93,86,89,77,96,69,27,29,64,76,47,69,40,77,52,69,79,18,86,83,72
2005-06-01,48,88,68,87,83,78,62,80,71,71,61,80,38,80,78,85,90,83,97,70,91,68,31,29,62,85,49,64,33,77,52,66,81,16,81,75,85
2005-07-01,53,89,71,88,95,93,56,81,65,64,56,81,42,78,85,83,94,78,82,78,89,71,38,27,64,72,56,66,45,79,54,71,76,20,82,79,87
2005-08-01,57,90,72,84,86,91,63,93,69,80,71,82,52,83,79,88,98,84,96,74,91,87,41,31,66,73,58,74,46,83,60,77,95,48,88,70,85
2005-09-01,53,83,76,71,62,58,58,80,63,95,69,71,57,77,79,81,87,81,84,70,85,100,41,28,63,76,49,90,51,79,49,75,100,100,82,72,88
2005-10-01,52,80,65,59,47,44,57,78,71,79,53,62,64,71,63,78,85,82,90,69,90,67,41,28,68,84,53,70,59,86,55,81,91,23,78,75,90
2005-11-01,57,77,93,49,41,37,61,82,68,72,41,56,70,77,48,78,78,82,89,72,95,62,29,29,71,78,62,77,63,91,58,90,92,18,75,89,100
2005-12-01,65,71,55,45,37,35,56,66,66,63,47,57,81,72,45,73,73,77,74,61,83,56,24,29,73,58,74,91,70,99,63,77,77,15,68,73,85
2006-01-01,51,77,66,49,50,48,66,79,82,74,47,62,85,81,47,85,82,78,92,65,79,76,80,31,75,73,50,82,49,82,54,94,89,15,89,72,74
2006-02-01,49,77,61,53,54,55,56,81,69,70,41,62,79,81,49,80,81,83,86,63,78,72,77,30,77,76,47,64,45,78,51,83,88,14,82,73,77
2006-03-01,50,80,72,63,55,67,58,93,67,70,47,70,74,75,60,84,86,85,86,64,86,84,50,30,73,80,48,70,45,78,55,84,87,19,96,74,72
2006-04-01,50,86,66,79,61,78,64,86,69,74,46,85,53,81,72,83,90,81,91,69,94,93,35,29,71,83,52,61,46,80,57,79,89,29,86,63,92
2006-05-01,50,82,62,78,67,75,54,86,65,71,46,78,46,71,76,78,85,76,89,63,87,82,22,29,69,86,52,59,40,77,56,74,82,21,91,65,76
2006-06-01,53,81,57,75,70,82,52,86,65,63,52,75,44,77,68,82,81,78,86,70,87,82,29,30,70,87,54,59,43,77,56,74,81,18,88,65,85
2006-07-01,53,83,59,75,85,98,55,87,64,69,43,74,46,78,69,86,86,67,88,65,84,92,25,30,74,84,58,61,48,76,60,84,79,23,92,66,84
2006-08-01,53,83,57,69,78,98,51,88,62,64,40,70,47,72,63,85,86,73,95,71,84,90,30,29,71,80,65,72,48,78,65,89,77,21,94,65,93
2006-09-01,53,79,70,58,62,71,56,85,62,67,37,60,55,77,55,82,81,82,83,72,83,83,36,32,72,79,58,82,52,79,62,90,82,20,93,64,91
2006-10-01,55,77,54,52,47,52,59,82,61,62,38,52,65,79,44,82,81,80,85,69,92,82,33,31,74,80,67,61,64,85,62,93,80,14,93,71,88
2006-11-01,63,73,63,42,38,40,55,75,64,62,37,47,66,67,41,83,78,77,77,64,89,76,22,32,78,77,85,68,72,89,73,100,76,13,89,66,92
2006-12-01,76,66,43,39,37,38,53,70,64,60,40,49,75,65,40,75,69,72,72,53,79,67,18,32,81,63,100,82,86,97,71,89,62,12,77,57,81
2007-01-01,59,75,65,40,45,52,54,80,62,68,34,55,73,68,37,81,74,73,79,61,76,80,61,32,81,75,63,72,62,82,55,94,75,14,95,66,79
2007-02-01,51,76,66,46,49,59,49,82,63,76,42,59,79,71,41,81,77,73,79,61,73,83,48,32,81,79,51,57,50,79,54,88,75,17,91,61,91
2007-03-01,60,81,51,58,50,68,53,94,67,75,44,74,71,69,46,87,83,76,86,64,83,91,49,32,79,79,60,61,54,78,57,87,71,19,99,62,97
2007-04-01,57,87,52,75,56,81,57,96,64,78,38,85,54,68,59,85,85,83,83,68,92,93,33,33,79,80,63,56,51,76,60,88,68,17,100,58,86
2007-05-01,58,78,46,79,59,80,53,86,60,75,38,82,45,63,61,75,78,79,82,68,81,87,18,30,72,81,60,55,43,69,56,76,66,23,94,58,75
2007-06-01,57,75,44,74,64,79,48,81,57,70,38,78,40,61,59,75,75,81,84,63,79,81,20,28,74,81,60,48,46,71,55,74,64,15,88,51,72
2007-07-01,59,78,45,74,80,96,45,81,53,64,37,78,43,64,58,80,78,78,79,61,79,83,21,29,73,75,67,58,52,72,59,80,58,15,90,50,80
2007-08-01,62,74,39,64,67,91,45,85,56,53,34,73,48,62,51,83,77,72,84,63,79,83,27,29,70,74,68,59,53,77,63,82,59,13,91,51,76
2007-09-01,61,71,63,51,49,72,46,75,60,54,32,63,52,66,45,80,72,70,77,58,76,78,30,29,65,74,63,73,53,75,59,82,60,12,87,52,83
2007-10-01,59,68,53,44,40,56,47,76,53,61,32,55,56,64,38,80,71,77,70,61,85,76,28,29,66,74,67,55,55,76,59,84,67,12,87,55,83
2007-11-01,70,67,54,36,33,43,46,74,52,66,32,45,60,61,37,75,67,75,72,58,89,73,20,29,73,75,92,59,76,84,69,91,65,13,83,57,87
2007-12-01,82,59,41,32,30,33,42,65,48,55,29,41,79,50,30,73,59,62,60,48,79,62,16,31,71,58,99,61,100,87,63,76,51,10,71,44,77
2008-01-01,59,64,46,32,38,49,42,71,49,64,34,53,74,57,31,73,65,69,68,52,68,71,45,30,72,68,59,54,62,73,49,83,59,13,89,51,68
2008-02-01,55,64,46,35,39,55,39,72,46,62,33,55,62,52,31,76,67,68,61,55,67,70,43,30,68,65,53,48,43,66,47,74,57,13,81,47,83
2008-03-01,58,66,56,45,41,61,44,80,45,65,32,64,60,55,35,78,67,65,65,56,71,75,41,30,63,66,57,47,55,70,51,76,57,14,83,48,75
2008-04-01,53,73,58,69,44,66,42,84,47,78,39,76,47,54,54,75,72,73,74,60,81,80,29,29,64,73,58,44,41,67,51,75,65,21,87,46,77
2008-05-01,60,66,48,70,50,68,42,81,45,86,35,75,40,54,60,71,65,65,73,59,71,77,17,29,64,71,58,41,38,66,50,69,62,24,84,43,66
2008-06-01,53,64,45,67,52,67,39,76,39,100,38,72,37,47,59,66,62,63,67,55,70,71,20,28,62,72,57,38,41,62,48,66,61,25,77,39,68
2008-07-01,51,65,46,66,66,73,32,72,41,77,36,70,37,52,57,65,62,67,65,53,68,68,18,28,62,66,59,41,39,62,51,69,56,21,78,38,66
2008-08-01,53,61,38,60,59,73,36,70,41,58,35,62,40,49,49,67,60,63,66,50,68,65,23,29,62,64,61,49,39,65,53,70,51,14,73,40,73
2008-09-01,50,58,35,47,39,56,37,66,44,62,32,53,43,44,37,64,59,67,62,49,66,64,23,28,57,63,52,53,41,63,47,70,60,24,76,42,74
2008-10-01,52,55,60,33,28,39,36,58,39,55,31,43,47,47,30,61,55,63,61,51,71,60,25,29,58,63,56,38,44,64,47,69,63,22,76,43,64
2008-11-01,59,55,78,28,27,29,32,57,38,53,28,37,49,43,30,60,53,64,57,47,73,54,18,30,60,60,71,44,55,66,56,74,52,18,69,39,66
2008-12-01,69,50,76,25,26,24,31,52,35,47,25,36,62,42,24,58,48,56,51,42,64,47,15,32,61,50,83,50,67,72,53,63,44,14,62,35,80
2009-01-01,55,53,47,26,30,35,34,60,39,51,28,43,76,44,27,64,54,58,54,45,56,56,34,30,64,59,55,50,44,60,45,69,51,13,72,38,68
2009-02-01,49,53,53,30,33,42,36,63,40,51,28,48,62,49,28,62,54,63,55,47,57,55,43,30,66,57,47,41,38,56,42,62,48,12,71,37,67
2009-03-01,49,59,56,45,36,46,33,68,38,55,26,55,50,46,36,64,59,69,61,50,62,60,38,30,63,61,50,38,40,57,43,67,54,12,77,39,76
2009-04-01,56,61,58,57,37,53,36,69,39,55,28,64,38,41,41,64,63,67,64,51,69,60,28,30,66,64,53,38,31,58,43,62,44,11,78,38,73
2009-05-01,53,56,62,57,45,57,33,64,36,47,25,61,33,42,39,62,56,70,66,50,63,56,23,30,67,62,52,36,27,55,40,58,41,12,71,33,60
