date,841_Flyer,841_Canada,841_No Frills,841_Costco,841_Real Canadian Superstore,47_Car,47_Canada,47_Sales,47_Honda,47_Ford,1190_Car,1190_Canada,1190_Ford,1190_General Motors,1191_Motorcycle,1191_Mountain bike,1191_Canada,1191_Bicycle,1191_Mountain,1140_KAYAK,1140_Kayak,1140_Sales,1140_Outboard motor,1140_Boat,1213_Living van,1213_Trailer,1213_Sales,1213_Recreational vehicle,1213_Caravan,1013_Car,1013_Auction,1013_Sales,1013_Classic,1013_Classic car,1214_Car,1214_Trailer,1214_Sales,1214_Ritchie Bros. Auctioneers,1214_Truck,806_Car,806_Truck,806_Bugatti,806_Lamborghini,810_Car,810_Canada,810_Electric vehicle,810_Hybrid vehicle,810_Electric car,1317_Car,1317_Lock,1317_Smart,1317_Door,273_Motorcycle,273_Canada,273_Harley-Davidson,273_Sales,273_Yamaha Motor Company,148_Arctic Cat,148_Snowmobile,148_Ski-Doo,148_Polaris Inc.,1147_Aircraft,1147_Cessna,1147_Sales,1147_Airplane,1212_Scooter,1212_Motorcycle,1212_Canada,1212_Vespa,1212_Kick scooter,610_Van,610_Sales,610_Ford,610_Truck,610_Sport utility vehicle,815_Car,815_Canada,815_Sales,815_Ford,815_Honda,1294_Speed limit,1294_Ontario,1294_Exam,1294_Traffic ticket,1294_Driving,170_Driving school,170_Driving,170_Driver's license,170_License,170_Vehicle registration plate,138_Car,138_Code,138_Oil,138_apk,89_Car,89_Canada,89_Wheel,89_Tire,89_Rim,473_Car,473_Canada,473_Sales,473_Auto Trader Group,473_Used car,803_Car,803_Auto show,803_Air show,803_2010,803_Toronto,121_IGA Extra,121_Super C,121_Circulaire,121_IGA,121_Grocery store,276_Restaurant,276_Domino's Pizza,276_Menu,276_Toronto,276_McDonald's,650_Door,650_Canada,650_Air conditioning,650_Wood,650_The Home Depot,73_Walmart Pharmacy,73_Canadian Tire,73_Walmart,73_Walmart Canada,73_Calgary,355_Bookstore,355_Renaud-Bray,355_Archambault,355_Book,1146_EB Games Australia,1146_Game,1146_EB Games,1146_Canada,1146_Video game,18_Canada,18_Kijiji,18_Canadian Tire,18_Walmart,18_Shoes,1225_Outlet store,1225_Canada,1225_Hour,1225_Wholesaling,1225_Costco,270_IKEA,270_Furniture,270_Light,270_Canada,659_Gas,659_Petroleum,659_Filling station,659_Oil,659_Gasoline,1268_GasBuddy,1268_Costco Gasoline,1268_Gasoline,1268_Costco,1268_Price,38_SAAQ,38_Canada,38_Insurance,38_Vehicle insurance,38_Desjardins Group,844_Canada,844_Barcode,844_Point of sale,844_Image scanner,614_Vancouver,614_Centre Bell,614_Cineplex Entertainment,614_Ticket,614_Ticketmaster
2004-01-01,3,34,3,9,53,83,79,76,69,53,78,69,67,56,54,27,15,37,37,20,20,49,8,36,0,22,34,0,26,61,0,100,76,40,56,30,74,0,45,84,42,37,36,23,15,0,0,3,8,36,11,34,67,68,58,60,0,62,100,76,0,94,100,100,29,23,38,15,13,0,45,52,52,55,0,75,75,63,65,70,0,35,0,71,76,36,53,15,19,0,46,7,22,0,69,58,29,19,16,84,80,57,0,80,76,99,0,0,66,17,3,0,7,10,36,19,5,77,20,28,47,19,72,38,0,19,12,19,21,64,91,30,99,0,46,12,13,57,22,0,12,11,37,0,38,0,0,10,18,87,31,30,57,68,0,52,50,0,0,9,0,0,10,100,62,85,0,49,51,53,0,66,61,0,69,40
2004-02-01,2,29,8,10,36,84,84,67,66,51,58,66,47,29,0,48,19,45,48,16,16,57,36,38,0,28,35,41,14,82,99,34,100,48,81,36,58,0,53,66,27,43,60,17,9,0,31,8,28,18,38,34,77,77,42,71,0,72,95,100,0,74,64,9,47,28,52,15,36,0,41,32,45,71,0,84,80,64,61,67,12,65,0,27,74,26,45,13,22,0,35,23,25,0,72,68,31,19,26,84,71,58,0,77,100,56,2,0,100,35,6,1,8,8,35,14,5,78,25,25,40,19,73,39,4,16,9,14,23,52,83,17,75,0,31,12,16,48,20,0,11,9,37,33,38,0,0,10,15,81,27,25,60,87,0,54,42,0,0,19,0,3,13,86,61,73,0,100,58,27,0,83,59,0,74,74
2004-03-01,3,28,4,11,30,87,94,76,86,62,54,63,52,59,45,55,28,67,58,32,32,69,25,31,0,37,35,50,12,68,81,42,59,33,56,42,57,0,43,74,38,7,63,19,6,33,0,2,12,45,21,63,79,83,73,100,0,60,43,54,0,65,47,45,28,46,48,38,61,0,64,39,52,81,0,100,89,37,70,85,0,64,0,45,71,32,48,14,20,0,33,18,12,0,88,71,32,20,29,90,76,53,0,80,55,24,8,0,65,43,4,0,7,9,34,20,6,78,25,22,45,14,83,24,0,17,11,19,29,52,76,41,95,0,11,14,14,24,21,0,12,11,44,30,25,0,0,10,17,86,27,27,66,85,0,64,42,1,0,23,0,4,14,87,67,18,0,27,43,100,0,73,61,0,57,56
2004-04-01,3,30,5,12,33,95,92,84,91,65,100,88,59,66,18,77,25,73,95,34,34,46,63,39,0,39,53,20,23,99,0,33,92,100,56,44,62,0,53,83,34,32,42,22,11,35,60,8,22,18,21,17,93,83,33,60,0,21,21,27,0,82,43,55,39,64,51,34,42,33,65,31,54,86,0,91,85,74,74,83,12,64,0,45,77,36,52,13,25,100,54,11,31,0,100,74,49,24,32,98,87,61,0,84,41,10,10,0,48,17,2,1,7,7,31,18,5,78,20,28,41,18,78,19,2,19,9,11,31,55,20,27,86,0,35,14,21,57,22,0,15,10,49,41,46,0,100,12,16,81,28,23,62,82,0,54,50,1,0,27,1,6,16,85,74,71,0,33,46,53,0,65,61,0,90,54
2004-05-01,3,36,5,13,38,100,96,87,91,59,82,45,48,17,63,82,29,89,90,42,42,79,59,36,0,50,63,53,29,77,86,30,87,71,100,51,65,0,58,100,10,26,75,38,16,23,27,11,45,79,43,45,95,88,52,53,0,24,15,10,0,67,58,48,47,75,45,63,66,0,67,46,46,71,0,99,92,59,66,85,21,74,100,87,100,38,49,21,26,89,57,33,28,0,91,72,40,22,41,95,100,60,0,83,40,4,23,0,30,15,1,1,5,7,33,17,6,74,22,30,53,40,85,50,0,26,10,13,24,57,27,19,83,0,29,14,8,75,21,0,17,10,45,14,47,0,0,12,14,74,23,24,69,64,0,59,48,3,0,65,0,21,16,95,73,38,18,72,71,87,0,68,24,0,44,42
2004-06-01,3,34,6,12,49,91,90,79,85,55,52,67,65,77,49,100,33,100,100,45,45,71,86,56,0,50,37,55,21,79,0,92,87,67,31,64,62,0,61,86,31,27,42,20,14,48,28,7,17,82,20,62,96,85,15,46,0,20,11,16,0,67,50,33,35,89,46,47,70,0,68,38,43,79,0,83,83,81,63,75,21,58,0,49,68,48,71,20,27,0,46,17,27,0,85,59,30,18,25,93,87,55,0,80,68,4,40,0,18,16,3,0,4,6,30,17,6,82,31,28,56,45,75,0,0,28,11,14,28,70,65,10,87,0,32,17,12,43,22,0,19,11,43,37,45,0,0,14,15,75,26,23,57,90,0,55,57,3,0,29,0,6,15,88,75,52,0,75,52,65,0,93,22,0,79,44
2004-07-01,3,34,5,15,59,94,100,100,89,57,28,84,44,91,0,92,49,96,91,49,49,86,49,72,0,61,78,38,40,77,31,64,85,77,54,47,49,0,45,80,40,43,49,19,13,25,0,4,24,34,19,16,100,77,80,48,100,14,5,8,0,58,55,35,33,93,24,60,76,0,54,100,45,72,100,91,95,79,68,88,22,80,54,60,56,42,65,23,32,0,40,18,23,0,98,69,37,23,18,100,86,72,0,99,64,3,62,0,16,17,4,1,4,10,32,12,6,82,25,32,49,53,75,18,0,24,13,19,24,56,39,23,81,0,32,21,26,45,24,0,19,12,40,63,51,0,0,14,21,89,29,34,47,63,0,50,28,0,0,22,0,3,19,89,70,14,0,58,50,94,0,100,19,0,57,36
2004-08-01,3,39,6,14,59,96,94,92,86,62,44,48,40,25,16,77,36,82,88,50,50,100,100,64,0,53,57,70,24,51,28,58,80,29,69,54,50,0,54,74,30,16,48,19,16,8,26,7,24,0,34,0,84,76,95,61,0,22,20,16,0,100,66,40,32,66,100,100,75,29,87,73,60,83,0,85,91,91,75,78,31,67,0,86,51,44,68,19,28,0,48,19,22,0,97,70,31,23,24,98,87,60,0,100,53,4,100,0,24,15,3,1,3,7,32,17,5,81,20,33,51,29,70,0,2,22,12,15,37,56,80,19,88,0,19,25,35,25,25,0,16,12,56,50,62,0,0,17,24,99,27,38,48,68,0,51,44,1,0,8,0,4,22,92,75,75,0,57,100,47,0,60,52,0,57,36
2004-09-01,3,34,5,12,50,85,87,84,78,65,57,77,50,68,100,55,30,58,65,36,36,74,41,44,0,36,40,48,13,100,26,80,68,85,54,45,63,0,39,78,15,17,56,14,16,21,24,4,50,14,50,27,80,67,100,32,0,30,37,33,0,76,48,44,42,68,61,47,53,0,57,75,47,88,0,83,85,59,76,69,19,66,0,43,48,35,61,12,22,0,43,12,27,0,79,67,39,26,18,85,75,57,0,72,40,7,43,0,56,0,2,0,4,10,32,17,5,75,20,30,45,12,84,0,0,18,11,14,27,100,73,32,93,0,47,27,32,53,23,0,15,11,49,26,50,0,0,11,19,86,25,28,49,82,0,52,47,1,0,26,0,2,13,82,65,57,16,48,73,28,0,86,42,0,63,52
2004-10-01,3,33,9,16,58,87,86,71,77,62,62,69,53,44,0,49,26,44,50,10,10,53,12,30,0,20,29,47,24,71,51,0,55,68,27,38,36,0,43,70,12,31,53,26,8,21,47,13,100,14,100,27,69,58,26,63,0,43,49,42,100,64,57,43,42,46,50,49,33,0,51,16,37,60,0,80,85,61,71,72,18,53,89,49,80,36,53,14,23,0,46,20,29,0,70,79,29,36,33,83,74,62,100,78,32,5,0,0,63,0,6,1,4,13,33,24,5,73,20,27,40,20,76,0,2,23,14,18,31,48,96,28,80,0,33,29,31,30,22,0,14,14,43,26,43,0,0,13,17,79,24,25,67,67,0,65,43,1,0,25,0,4,13,74,61,45,0,69,63,70,100,72,35,0,65,59
