date,569_cineplex,569_cinema,23_theatre,23_dance,47_honda,47_ford,815_honda,815_ford,170_driving,170_license,249_desjardins,249_blue cross,71_pizza pizza,71_pizza,276_restaurant,276_restaurants,634_clinic,634_dr,250_hopital,250_hospital,168_fire,168_emergency,437_anxiety,437_depression,11_home depot,11_ikea,29_mls,29_real estate,96_real real,96_remax,18_kijiji,18_walmart,67_air canada,67_hotel,179_hotels,179_hotel,5_google,5_apple,68_boots,68_shoes,78_xbox,78_videotron,696_or,696_bijoux,329_acces d,329_cra,95_staples,95_desk,423_bankruptcy,423_hollywoodpq,279_credit,279_mortgage,1160_pret,1160_business,813_student,813_tuition,466_calculator,466_mortgage,468_lease,468_calculator,46_plant,46_farm,750_forestry,750_forest,747_fish,747_salmon,121_circulaire,121_iga,123_smoke,123_cigarettes,697_boots,697_shoes,1176_printing,1176_vistaprint,1268_gas,1268_gas prices,288_bottle depot,288_plastic,248_side effects,248_pharmacy,30_hp,30_kingston,287_valve,287_generator,612_oscar,612_car wash,13_mail,13_google,31_java,31_windows,7_td,7_rbc,38_desjardins,38_insurance,969_lawyer,969_law,477_architecture,477_architects,25_circulaire,25_marketing,380_vet,380_animal hospital,1010_vacations,1010_voyage,726_acces d,726_acces,76_passport,76_canada,74_college,74_school,256_clinic,256_dr,508_assurance emploi,508_chomage,20_nhl,20_hockey,1199_abstract,1199_ordre,144_laser,144_hair removal,748_tractor,748_deere,48_construction,48_doors,255_clinique,255_clinique médicale,50_tracking,50_canada,664_logistics,664_distribution,60_jobs,60_job,802_jobs,802_developer,621_canning,621_kraft,1140_boat,1140_kayak,841_superstore,841_walmart,289_trailers,289_trucks,665_ship,665_traversier,662_air france,662_air,354_customs,354_canada,666_railway,666_rail,1150_tracking,1150_canada,277_beer,277_lcbo,650_doors,650_portail,651_pont,651_bridge,652_contracting,652_contractors,158_home depot,158_paint,1143_netflix,1143_dvd,70_gift,70_birthday,271_appliances,271_vacuum,270_ikea,270_furniture,794_gps,794_garmin,233_gas,233_hydro,473_auto,473_cars,1339_carpool,1339_ride,932_fifa,932_madden,882_pet,882_dog,94_fitness,94_yoga,293_bridal,293_wedding,205_car rental,205_taxi,208_niagara falls,208_toronto,1081_cottage,1081_rentals,73_walmart,73_store,1188_gps,1188_garmin,185_louis vuitton,185_fashion,610_ford,610_truck,206_cruise,206_cruises,1003_luggage,1003_backpack,918_pizza pizza,918_pizza,355_livres,355_librairie,145_massage,145_spa,894_macbeth,894_theatre,960_emploi,960_quebec emploi,961_resume,961_cover letter,378_for rent,378_rent,465_home insurance,465_insurance,1164_survival,1164_economist,784_finance,784_dow,1209_bbc,1209_news,396_election,396_election results,408_toronto,408_news,832_carpet,832_flooring,952_piscine,952_pool,1139_td,1139_monnex,107_tsx,107_stock,903_rrsp,903_ttc,343_access,343_sql,77_paypal,77_sql,278_tva,278_tax,1300_omnivox,1300_cegep,730_git,730_github,341_salesforce,341_crm,334_expo,334_exhibition,314_security,314_avg,718_accenture,718_outsourcing,728_server,728_servers,1162_cra,1162_cra login,53_godaddy,53_domain,342_dashboard,342_erp,1159_project,1159_management,1214_trailers,1214_trucks,670_potash,670_homemade,12_acces d,12_canada post,566_fabric,566_fabric fabric,672_epoxy,672_glue,673_couleurs,673_couleur,49_covid,49_manufacturing
2004-01-01,31,57,97,75,69,53,70,65,53,19,18,62,14,14,36,24,14,10,48,65,78,10,52,88,10,21,56,87,67,51,0,11,71,76,74,75,11,18,16,37,47,25,0,8,7,0,58,15,30,0,54,43,50,22,58,46,65,48,38,74,15,30,72,92,100,74,1,7,39,100,17,36,94,0,4,3,3,67,36,13,78,58,77,48,44,8,15,7,93,29,21,13,21,62,30,94,88,91,1,93,14,12,52,25,7,7,37,99,100,86,15,12,14,9,11,33,28,57,95,79,36,34,64,48,7,10,1,32,67,71,59,82,44,11,4,57,36,21,15,13,44,78,26,11,14,38,89,90,98,64,1,23,31,11,47,1,14,71,30,41,10,29,1,66,10,86,88,26,18,87,26,13,57,17,63,100,14,69,2,12,40,42,83,37,100,69,59,15,25,44,35,46,11,30,27,12,50,100,52,56,70,92,29,14,14,14,54,80,44,52,65,68,47,24,99,82,27,30,31,40,27,57,14,1,26,28,0,0,89,67,70,43,4,12,41,74,9,8,71,55,86,81,51,79,10,39,8,77,0,0,2,37,42,42,66,48,92,81,100,56,0,0,4,95,5,63,65,90,44,78,19,11,7,22,34,35,13,10,63,20,0,83
2004-02-01,28,49,90,71,66,50,68,61,44,21,27,66,13,13,35,28,11,13,46,76,82,8,62,88,10,19,64,87,88,56,0,9,58,85,72,88,10,16,9,37,38,28,0,21,6,0,59,12,43,0,56,51,30,7,61,56,89,57,65,65,18,25,69,84,61,85,1,8,23,74,9,36,99,3,5,4,1,73,34,13,81,62,66,51,48,9,16,6,100,38,22,13,26,61,33,93,88,100,1,96,12,16,39,21,6,6,33,100,81,80,13,14,12,6,11,31,29,82,72,62,47,34,78,47,13,13,2,30,53,68,58,83,99,22,6,41,38,15,13,8,63,100,28,15,14,38,81,83,100,83,2,21,32,10,47,2,12,87,45,36,11,30,0,57,12,99,76,22,16,80,35,15,61,18,67,86,0,30,1,12,39,40,65,30,69,64,64,11,30,52,40,44,9,35,34,15,47,84,46,71,64,80,25,11,13,13,46,56,62,63,47,86,50,29,100,99,24,28,22,39,23,58,14,1,33,33,0,0,93,64,66,53,7,12,31,52,10,8,92,48,88,84,48,83,10,62,3,73,0,0,0,33,40,17,78,52,42,99,91,70,0,0,5,99,5,85,75,100,64,100,16,33,6,21,41,41,19,5,65,9,0,100
2004-03-01,31,61,81,82,86,62,85,70,46,20,23,82,15,14,34,24,10,10,39,78,77,7,57,96,12,23,63,95,95,61,0,11,62,83,72,93,12,17,9,44,36,22,0,36,7,0,53,10,32,0,48,56,26,17,27,36,99,63,61,48,16,29,85,93,94,85,0,7,36,88,8,44,100,0,7,7,4,81,41,18,79,62,73,51,42,10,15,6,100,28,19,14,21,67,45,81,100,87,1,79,12,13,32,18,8,8,35,90,85,63,14,12,18,9,13,30,0,100,99,94,37,54,81,48,13,14,2,28,83,56,64,79,66,27,5,42,32,32,13,10,78,83,24,0,8,27,88,81,72,99,2,20,36,10,49,0,18,66,25,31,12,41,0,56,10,95,84,26,17,85,30,23,67,16,68,97,0,12,2,9,46,37,60,28,61,61,64,14,32,45,47,43,11,33,30,23,61,99,52,80,61,64,20,12,17,17,56,51,53,58,75,82,49,23,87,80,25,32,27,30,18,61,14,1,38,39,0,0,90,66,69,53,9,18,38,98,9,6,53,51,88,100,42,100,11,75,2,48,2,0,7,38,52,17,73,75,52,54,86,61,0,0,1,100,0,100,53,83,77,83,29,32,7,19,59,59,23,12,62,36,0,58
2004-04-01,25,53,75,79,91,65,83,74,52,27,28,63,15,15,31,20,12,12,50,78,80,7,58,79,13,19,64,91,65,71,0,10,65,80,72,88,16,17,9,48,34,26,0,13,7,1,48,17,28,0,48,52,33,7,50,52,89,58,62,58,18,35,86,73,72,77,1,7,27,96,8,49,96,1,8,8,0,77,39,11,75,64,65,32,7,13,18,11,84,28,21,14,29,74,32,76,61,94,1,92,16,13,29,14,7,7,29,91,88,67,15,14,16,6,23,33,14,68,90,81,55,46,68,64,12,16,2,30,48,80,62,86,35,21,10,41,40,34,12,14,73,88,22,19,12,31,98,100,72,59,2,19,35,14,64,1,12,77,14,58,14,42,0,47,9,98,74,28,16,80,31,19,61,17,77,99,11,0,1,6,41,38,57,23,59,59,80,12,34,46,47,48,9,35,31,19,58,88,54,86,54,60,22,10,19,18,47,45,49,51,80,79,54,30,90,94,32,38,21,25,27,54,12,1,33,34,0,0,100,71,58,57,13,18,45,91,6,6,33,51,89,97,44,94,11,68,3,55,3,0,0,31,57,16,66,53,67,92,87,48,0,0,3,85,0,80,65,84,74,91,4,28,7,19,43,43,29,12,56,23,0,80
2004-05-01,31,55,82,76,91,59,85,66,49,26,22,71,13,13,33,22,12,10,47,73,60,10,59,90,15,19,62,96,100,69,0,10,61,77,79,84,14,17,9,46,38,23,0,22,9,0,51,12,33,0,51,47,7,10,52,23,84,53,58,57,28,38,100,85,91,100,1,4,24,77,9,48,90,1,27,28,7,76,30,11,73,65,92,55,5,13,18,9,88,31,19,13,27,74,34,92,70,74,0,80,13,14,19,18,9,9,24,86,79,77,14,12,18,7,11,25,25,78,82,79,48,55,70,57,12,18,2,28,51,75,61,92,55,48,9,37,36,41,14,10,81,77,18,25,12,34,70,66,79,68,2,19,39,13,57,1,10,83,54,49,16,44,0,62,14,100,79,29,14,74,35,22,64,18,80,98,3,44,3,8,39,41,58,28,59,70,81,13,39,49,50,46,10,27,36,22,64,86,47,71,52,63,31,10,15,15,38,54,45,48,84,78,50,31,92,96,26,32,17,34,11,82,10,1,37,40,1,0,79,77,70,53,20,25,40,76,7,5,18,71,82,90,48,87,5,30,7,60,0,0,3,37,30,19,75,68,52,86,81,46,0,0,4,87,19,74,64,89,80,77,28,19,9,19,35,35,16,11,44,31,0,73
2004-06-01,41,72,78,73,86,56,74,63,71,28,23,67,12,12,30,21,14,9,44,79,89,8,58,79,14,23,58,91,88,86,0,11,58,82,82,91,15,18,7,44,36,25,0,27,10,1,49,20,26,0,53,50,11,8,56,29,87,55,89,76,23,40,77,87,83,94,0,4,28,52,7,45,100,0,10,11,9,62,37,11,83,69,90,37,5,10,20,9,92,31,21,17,33,75,41,100,69,80,1,86,14,19,23,16,10,10,28,92,83,79,16,12,21,7,7,18,26,82,75,93,52,56,68,59,12,13,2,31,83,61,62,99,40,29,19,32,56,44,16,12,78,64,21,29,10,32,90,99,67,62,2,20,41,11,58,1,10,60,37,56,16,44,1,61,12,100,74,28,15,75,37,24,63,19,69,89,23,100,5,9,43,40,63,27,67,73,95,13,45,76,63,62,11,39,37,23,58,68,44,79,55,61,23,11,14,14,32,60,48,53,76,66,54,34,97,71,33,40,15,48,9,45,14,1,30,30,6,4,91,64,70,50,13,32,41,98,7,5,27,75,94,93,47,93,9,29,4,44,1,0,3,30,28,21,69,50,99,94,82,61,1,0,7,96,0,80,65,91,78,70,4,42,10,20,42,42,39,6,71,13,0,80
2004-07-01,45,77,85,63,89,57,88,68,65,32,19,85,14,14,32,19,16,10,43,81,95,9,63,73,16,29,63,97,74,69,0,12,67,94,100,100,16,19,8,41,42,26,0,12,9,0,49,14,40,0,57,47,16,13,94,22,85,53,64,71,17,44,40,57,51,53,1,4,20,75,8,42,84,0,7,8,2,72,32,13,78,73,84,46,7,7,21,8,82,33,24,15,26,70,34,78,62,97,0,85,11,16,28,16,9,9,31,81,81,56,19,13,18,8,3,14,40,53,84,100,59,64,60,56,10,10,2,31,92,56,58,85,17,31,24,49,72,50,17,13,75,53,22,54,11,39,100,99,60,82,2,20,44,16,57,1,10,39,56,61,18,52,0,65,13,94,94,25,21,89,37,21,53,17,76,92,7,19,4,22,46,43,62,35,72,82,100,13,59,93,67,59,12,33,37,21,61,63,43,72,74,98,32,12,13,13,27,63,53,64,20,85,47,28,79,70,32,40,25,40,8,55,15,1,33,34,1,1,89,62,60,57,14,30,47,98,7,5,18,58,100,95,49,92,6,27,0,39,0,0,2,25,20,25,79,56,96,78,87,68,0,0,0,94,10,50,55,81,73,58,19,31,9,19,42,41,23,6,48,17,0,70
2004-08-01,36,68,73,82,86,62,78,75,68,28,32,79,15,15,32,22,13,11,49,82,80,6,64,73,13,33,65,100,88,83,0,12,72,94,88,100,15,21,12,52,39,28,0,18,9,1,68,16,33,0,60,44,18,29,81,20,86,48,100,59,16,36,52,56,68,71,1,3,16,62,11,55,91,0,6,6,2,68,36,13,85,76,86,40,8,10,21,10,82,31,22,15,29,74,36,80,61,53,1,78,18,24,37,16,9,9,32,83,100,71,16,13,18,7,3,25,49,53,86,93,58,36,64,69,14,15,2,30,84,94,59,82,62,28,100,46,64,49,17,13,100,79,22,49,11,36,91,89,59,67,2,20,38,14,69,3,9,37,30,67,15,45,1,72,10,82,90,30,24,98,39,19,54,16,75,91,3,70,2,30,49,50,61,31,55,80,97,13,49,83,46,54,11,44,39,19,67,75,60,85,74,95,18,19,15,15,41,57,52,58,8,71,54,36,79,74,34,39,21,42,20,52,11,1,30,31,0,0,83,66,61,53,9,23,50,100,6,5,22,62,80,89,45,87,7,28,7,83,0,0,5,24,58,100,64,64,80,52,79,70,1,0,6,89,9,76,53,80,100,84,17,15,9,19,42,42,40,16,31,23,0,88
2004-09-01,24,48,85,85,78,65,68,76,61,22,24,80,15,15,32,23,12,12,44,73,89,6,64,72,13,24,53,81,70,65,0,11,63,84,77,91,16,20,10,47,42,30,0,30,9,1,63,11,32,0,51,40,23,9,66,49,77,44,79,54,16,35,46,70,43,83,0,3,20,71,11,49,86,0,6,6,3,71,33,13,95,80,78,41,5,9,26,11,92,30,24,16,33,64,42,99,67,77,2,97,14,21,31,19,9,9,26,83,96,94,15,14,21,9,4,37,56,83,68,70,45,40,69,52,14,13,2,28,69,93,53,79,35,9,54,60,43,35,15,11,52,56,27,15,10,32,81,86,64,56,2,20,33,12,52,1,15,45,49,53,15,35,0,72,12,97,90,30,19,86,43,22,53,17,71,86,6,56,2,23,43,39,63,34,65,61,68,12,33,54,24,30,11,38,43,22,56,90,48,86,59,74,32,14,15,15,40,100,54,43,22,68,58,34,97,93,27,32,27,41,21,100,12,1,40,38,1,0,80,66,82,50,7,17,51,81,6,5,22,83,84,100,45,96,12,23,5,67,0,0,1,23,42,65,85,65,100,56,82,60,1,0,3,92,13,97,61,89,51,55,28,29,9,19,48,49,15,8,68,42,0,78
2004-10-01,27,55,94,69,77,62,72,71,52,22,16,73,16,16,33,22,11,12,41,64,93,9,69,78,11,20,46,66,57,58,0,14,56,72,62,78,17,22,16,44,49,25,0,10,9,1,55,21,16,0,49,39,13,23,57,34,71,44,59,71,15,43,60,65,62,81,1,4,29,66,15,46,91,2,6,7,5,84,37,12,86,62,83,42,7,3,22,12,94,27,23,16,27,61,31,85,68,60,2,85,15,15,28,22,9,9,25,84,84,74,14,14,18,6,3,26,33,55,71,64,50,38,59,55,12,16,2,28,90,95,53,74,28,17,18,59,30,10,15,13,53,72,30,12,10,26,89,89,66,64,2,19,32,12,56,2,14,63,37,47,13,31,0,71,15,83,79,33,17,78,37,19,65,18,65,86,3,55,3,18,39,35,59,31,53,57,61,19,31,37,16,34,14,38,37,20,52,81,38,59,49,61,20,9,18,18,48,87,46,42,45,79,43,29,84,71,21,27,24,32,14,60,12,1,32,33,2,1,72,56,71,46,6,9,33,50,9,6,22,60,70,80,55,78,12,22,5,68,0,0,3,31,43,28,68,65,85,64,83,50,1,0,8,77,4,69,66,79,52,76,34,12,9,18,46,46,19,6,100,37,0,61
