date,569_Cineplex Entertainment,23_Dance,47_Car,815_Canada,170_Driving,249_Health,71_Recipe,276_Restaurant,634_Clinic,250_Hospital,168_Fire,437_Disease,11_Canada,29_Sales,96_RE/MAX,18_Canada,67_Hotel,179_Hotel,5_Download,68_Canada,78_Xbox,696_Jewellery,329_Canada Revenue Agency,95_Staples Canada,423_Bankruptcy,279_Credit,1160_Business,813_Student,466_Mortgage loan,468_Car,46_Plant,750_Forest,747_Fish,121_Circulaire,123_Cigarette,697_Shoes,1176_Printing,1268_Price,288_Canada,248_Jean Coutu Group,30_Hewlett-Packard,287_Valve,612_Film,13_Google,31_Java,7_Royal Bank of Canada,38_Insurance,969_Lawyer,477_Architecture,25_Marketing,380_Veterinarian,1010_Vacation,726_Desjardins Group,76_Canada,74_University,256_Clinic,508_Unemployment,20_National Hockey League,1199_Quebec,144_Hair,748_Tractor,48_Door,255_Clinic,50_Canada Post,664_Logistics,60_Job,802_Job,621_Food,1140_Boat,841_Flyer,289_Truck,665_Ship,662_Airline,354_Canada,666_Train,1150_Canada Post,277_Liquor Control Board of Ontario,650_Door,651_Bridge,652_General contractor,158_The Home Depot,1143_Netflix,70_Gift,271_Refrigerator,270_Furniture,233_Waste,473_Car,1339_Carpool,932_FIFA,882_Dog,94_Yoga,293_Wedding,205_Car,208_Park,1081_Rent,73_Walmart,185_Model,610_Truck,206_Cruise ship,1003_Backpack,918_Menu,355_Book,145_Massage,894_Theatre,960_Employment,961_Résumé,378_Rent,465_Insurance,1164_Canada,784_Stock,1209_News,396_Election,408_Newspaper,832_Flooring,952_Swimming pool,1139_Bank,107_Stock,343_SQL,77_PayPal,278_Tax,1300_CEGEP,730_Git,341_Salesforce,334_Trade fair,314_Antivirus software,718_Outsourcing,728_Server,1162_Canada Revenue Agency,53_GoDaddy,342_Enterprise resource planning,1159_Salary,1214_Truck,670_Fertilizer,12_Canada,566_Textile,672_Adhesive,673_Color
2004-01-01,0,75,83,74,53,67,28,36,14,65,78,10,27,63,33,22,76,75,100,10,47,0,0,53,29,54,22,58,18,56,15,92,100,1,91,36,93,0,34,0,80,77,100,7,93,61,62,30,88,93,100,73,0,99,100,15,27,60,62,73,36,27,13,22,67,82,91,83,36,3,49,26,64,89,42,23,0,28,71,0,15,1,10,35,87,64,84,14,2,42,37,69,60,26,30,11,75,56,31,14,3,97,44,69,70,0,30,40,76,7,28,0,97,43,41,100,8,81,51,39,77,0,2,0,80,81,100,0,4,0,22,45,24,53,60,10,50
2004-02-01,0,71,84,80,44,54,26,35,11,76,82,100,27,88,33,20,85,88,99,9,38,0,0,68,43,56,7,61,19,54,18,83,60,1,84,36,99,3,38,0,20,66,73,6,100,74,61,33,88,96,77,62,0,100,92,13,22,82,100,58,47,25,27,21,53,83,47,100,38,2,53,28,43,82,43,21,0,25,88,0,21,0,12,21,80,65,84,0,1,40,30,64,59,28,34,9,77,71,27,11,4,72,62,87,100,0,28,39,74,6,33,0,96,53,24,68,8,84,48,62,73,0,0,0,73,99,91,0,5,100,29,53,31,51,100,41,76
2004-03-01,0,82,87,89,46,62,24,34,10,78,76,12,27,100,41,21,83,94,94,10,36,84,0,61,32,48,17,27,23,46,16,93,94,0,83,44,100,5,45,0,100,73,80,6,100,64,67,45,100,79,50,48,0,90,89,14,20,100,56,90,37,22,16,19,83,79,57,86,32,3,54,24,53,80,50,19,53,22,66,0,11,0,10,31,86,52,90,0,2,37,28,61,61,30,46,11,98,80,29,12,5,95,53,83,76,0,32,30,74,5,39,0,94,53,48,36,6,100,42,75,48,2,7,96,100,54,86,0,1,0,23,41,61,51,48,13,31
2004-04-01,19,79,95,85,52,51,23,31,12,79,80,59,27,78,49,22,80,89,93,10,34,67,0,18,28,48,7,50,100,67,18,73,72,1,94,49,96,5,47,0,30,65,79,11,84,63,74,32,61,92,60,50,0,91,82,15,22,100,89,75,55,28,13,19,48,86,69,56,40,3,60,22,50,100,42,19,42,29,77,42,9,0,9,34,81,75,98,11,1,38,23,59,73,32,40,9,90,86,22,10,4,84,49,80,77,0,38,27,69,6,34,0,100,57,41,38,6,97,44,68,55,3,0,76,67,92,87,0,3,0,40,53,31,51,71,61,100
2004-05-01,0,76,100,92,49,76,24,33,12,73,60,35,32,96,72,21,77,84,90,10,38,0,0,51,33,51,10,52,24,72,28,84,91,1,95,48,90,22,48,0,53,92,65,9,88,67,74,34,70,80,49,43,0,86,78,14,17,80,63,78,48,29,23,18,51,92,94,54,36,3,63,18,55,65,40,18,0,30,83,0,37,0,14,31,74,66,95,3,3,41,28,70,75,43,52,10,75,71,20,10,5,84,45,79,64,0,32,34,79,6,40,1,93,53,70,46,5,90,48,30,60,0,3,90,93,94,81,0,4,0,27,58,27,49,43,45,0
2004-06-01,0,73,90,83,71,79,24,30,14,79,89,90,30,83,15,22,82,91,89,10,36,0,0,45,26,53,10,56,25,79,23,87,82,0,86,45,100,6,49,0,73,90,80,9,92,100,75,41,68,86,82,51,0,92,80,16,25,27,57,88,52,28,24,20,83,99,63,54,56,3,60,21,46,98,52,20,39,28,60,39,22,1,12,28,75,65,93,23,5,39,27,73,93,55,54,11,82,79,19,11,5,89,48,66,85,0,40,48,60,5,30,6,94,50,68,48,5,93,47,29,44,1,3,23,73,92,82,0,7,0,22,61,11,51,80,46,46
2004-07-01,19,63,94,95,65,77,28,32,16,81,95,28,33,100,47,24,94,100,93,10,42,0,0,39,39,57,13,94,35,70,17,58,51,1,58,42,83,4,48,100,77,84,78,8,82,75,70,34,62,85,68,64,0,81,80,19,26,24,30,86,59,31,13,19,92,85,29,64,72,3,50,22,100,98,48,19,41,32,40,41,23,0,13,53,89,52,100,7,4,43,35,78,100,79,64,12,96,72,25,12,5,83,53,86,74,0,40,40,22,5,34,1,94,57,86,37,5,95,49,27,39,0,2,0,85,76,87,0,0,0,21,45,24,49,79,39,48
2004-08-01,0,82,95,91,68,87,29,32,13,82,80,34,32,97,100,25,94,100,94,11,39,0,0,59,32,60,29,81,24,70,16,56,70,1,63,55,91,4,39,91,96,86,64,10,82,73,74,36,61,78,26,60,0,83,86,16,17,22,47,83,58,33,0,19,84,82,100,58,64,3,54,22,71,89,46,19,0,34,37,0,26,1,10,40,98,58,98,3,2,50,31,80,94,58,54,11,98,85,26,19,4,86,52,74,72,100,39,42,46,5,31,0,92,53,70,46,5,89,45,28,83,0,5,22,96,52,79,0,6,57,22,53,16,50,62,53,22
2004-09-01,0,85,85,85,61,86,28,32,12,73,89,86,30,71,26,23,84,91,95,11,42,0,0,53,32,51,9,66,51,68,16,70,43,0,86,49,86,3,46,83,48,77,80,11,92,87,64,42,67,97,52,51,0,83,96,15,23,20,57,56,45,29,21,19,69,79,61,55,43,3,49,27,49,85,42,20,0,30,45,68,24,0,12,33,86,53,85,6,2,38,34,61,64,24,24,11,79,86,28,14,5,94,54,71,73,0,32,41,42,4,38,1,92,50,37,53,5,100,44,23,67,0,1,20,88,56,82,0,3,0,24,39,10,48,78,56,0
2004-10-01,0,69,87,85,52,59,31,33,11,64,93,70,25,70,64,22,72,78,92,11,49,0,0,95,16,49,23,57,29,60,15,64,62,1,100,46,90,5,44,0,39,83,83,12,94,70,61,31,68,85,43,46,0,84,85,14,19,32,39,63,50,27,31,19,90,74,36,87,30,3,50,30,42,88,31,19,100,27,63,100,7,0,15,23,78,68,84,3,3,35,31,57,59,21,23,14,77,59,20,9,4,80,46,80,53,0,27,32,47,5,33,2,87,46,16,56,6,79,55,22,68,0,3,60,83,64,83,0,8,77,29,43,34,48,64,40,39
