date,Economic crisis,Crisis,Recession,Financial crisis,Krach,Unemployment,Unemployment benefits,Student loan,Loan,Interest,Mortgage,Auto Financing,Birthday,Temporary jobs,Affordable housing,Lawyer,public debt,office space,Housing bubble,Bankruptcy,Exportation,Commercial Building,Foreclosure
2004-01-01,0,27,0,0,0,27,26,40,55,43,43,27,18,0,0,30,38,93,0,39,54,100,42
2004-02-01,0,0,0,0,36,22,10,53,46,46,51,28,18,44,0,33,0,95,13,54,100,74,31
2004-03-01,0,0,0,0,44,20,32,35,43,44,56,0,23,80,0,44,95,80,16,37,61,34,44
2004-04-01,0,27,0,100,0,22,10,43,56,55,52,54,54,43,0,32,76,73,0,47,82,36,23
2004-05-01,0,0,64,0,0,17,18,41,50,47,47,72,32,0,0,34,0,52,17,41,58,8,31
2004-06-01,0,24,0,91,0,26,28,59,50,53,50,50,50,59,0,41,35,73,46,41,70,42,36
2004-07-01,0,13,0,0,0,26,25,83,62,41,48,79,0,0,55,34,0,79,30,38,37,53,45
2004-08-01,0,0,0,0,0,17,18,89,62,40,44,0,48,19,100,37,67,68,28,43,38,32,33
2004-09-01,0,11,0,0,28,23,16,52,49,44,40,22,87,17,46,41,61,100,25,40,52,44,41
2004-10-01,0,0,0,0,55,19,12,58,53,40,39,21,100,17,45,32,90,86,35,34,39,14,41
2004-11-01,0,0,0,0,0,22,24,67,50,42,34,21,28,99,0,37,88,84,15,38,80,42,29
2004-12-01,16,10,0,0,0,19,11,39,43,31,26,40,40,48,85,33,0,57,14,34,81,47,36
2005-01-01,13,25,0,0,65,22,16,32,43,44,39,50,0,13,35,40,47,73,16,40,57,56,24
2005-02-01,0,9,97,0,23,23,10,53,48,40,40,36,48,43,38,34,25,73,4,40,62,61,34
2005-03-01,0,30,81,56,20,22,12,36,47,34,43,46,41,36,96,40,21,62,25,39,40,56,20
2005-04-01,14,17,0,0,0,18,17,56,54,48,45,35,47,69,37,37,49,81,20,42,64,53,20
2005-05-01,0,0,0,0,20,20,27,45,54,33,46,32,11,100,67,42,89,76,18,33,80,37,26
2005-06-01,0,8,0,0,21,22,6,51,55,49,44,49,22,76,0,46,0,61,56,38,42,43,25
2005-07-01,0,8,0,0,0,17,19,77,52,36,40,17,23,0,36,41,0,81,87,37,34,34,29
2005-08-01,0,8,0,0,0,18,9,74,61,37,44,0,21,25,0,43,0,57,52,43,19,32,27
2005-09-01,0,7,38,0,0,19,11,64,45,43,40,14,38,11,0,39,80,77,56,40,37,33,22
2005-10-01,0,25,0,0,33,17,5,45,42,37,39,26,43,30,27,33,18,64,30,34,46,34,27
2005-11-01,0,31,0,94,16,25,10,48,40,36,34,38,59,10,0,37,54,92,62,33,31,51,14
2005-12-01,0,6,0,0,0,21,10,47,43,34,31,52,17,10,54,31,18,68,42,33,39,30,24
2006-01-01,9,5,0,0,0,23,23,50,50,40,38,22,37,26,46,40,31,80,46,39,44,22,37
2006-02-01,0,11,0,43,15,22,9,50,50,41,39,23,16,28,49,39,33,78,43,36,47,51,38
2006-03-01,0,5,55,0,0,22,14,46,57,42,40,82,55,16,0,35,43,60,45,39,51,34,27
2006-04-01,9,21,58,40,14,22,12,57,61,51,48,22,15,26,23,35,31,68,51,29,55,48,34
2006-05-01,0,15,0,0,14,21,2,56,53,34,46,53,28,50,0,38,29,61,63,31,63,21,29
2006-06-01,9,16,0,40,0,22,14,53,52,42,43,33,44,26,46,43,76,58,78,30,26,37,38
2006-07-01,9,16,0,41,0,20,17,77,66,42,41,100,15,9,0,38,16,78,57,30,24,37,38
2006-08-01,8,10,0,0,0,19,14,98,64,39,41,41,34,24,43,41,29,62,74,33,21,27,40
2006-09-01,0,0,0,0,12,22,24,79,56,37,36,38,38,60,60,35,54,75,100,28,42,48,34
2006-10-01,7,13,23,32,33,23,28,44,46,41,40,52,58,20,0,36,36,63,62,34,41,52,36
2006-11-01,0,12,44,0,11,18,11,38,45,41,32,25,66,32,69,34,81,84,46,26,38,55,38
2006-12-01,0,9,0,0,23,19,3,45,43,35,29,35,35,14,0,26,62,61,45,26,21,27,26
2007-01-01,0,11,0,27,0,27,14,57,52,43,42,30,64,18,16,37,31,68,36,31,33,40,31
2007-02-01,0,0,21,0,10,24,20,40,55,45,44,16,54,32,67,35,67,56,39,32,32,38,28
2007-03-01,6,7,0,0,9,21,23,42,58,44,48,70,42,11,15,36,49,68,34,32,35,42,45
2007-04-01,0,7,0,27,9,21,14,46,55,46,45,29,44,23,0,35,10,72,39,33,42,29,34
2007-05-01,0,14,19,0,0,15,9,51,57,45,48,42,51,60,58,36,39,66,31,32,35,33,36
2007-06-01,0,0,0,0,28,15,8,65,61,52,49,51,24,35,31,36,20,62,27,33,29,32,36
2007-07-01,0,11,0,26,0,23,14,84,59,45,49,43,24,34,15,39,0,67,42,30,17,41,35
2007-08-01,5,17,0,25,9,18,17,100,66,42,46,54,50,37,0,41,29,59,76,28,8,45,42
2007-09-01,0,10,18,0,9,17,11,80,57,46,39,33,27,37,28,39,28,48,63,26,36,49,45
2007-10-01,5,23,0,66,0,18,10,53,57,46,39,54,40,23,38,38,25,62,47,28,47,44,43
2007-11-01,0,25,31,85,15,18,12,47,45,40,32,81,38,18,73,36,48,64,33,31,38,50,48
2007-12-01,0,19,0,71,0,20,21,43,46,36,29,38,26,20,27,33,45,44,36,23,15,34,38
2008-01-01,5,14,15,21,7,22,21,66,54,55,45,29,69,14,24,37,8,72,29,30,31,40,57
