date,841_costco,841_superstore,841_sobeys,841_no frills,841_walmart,47_ford,47_toyota,47_dodge,47_honda,47_nissan,1190_wolseley,1190_ford,1190_chrysler,1190_automotive,1190_gm,1191_bmx,1191_velo,1191_bicycle,1191_bikes,1191_bike,1140_canoe,1140_bateau,1140_sail,1140_kayak,1140_boat,1213_camper,1213_trailers,1213_rv,1213_roulotte,1213_trailer,1013_cars,1013_classic cars,1013_tucker,1013_encan,1013_vintage,1214_hebdo,1214_trucks,1214_trailers,1214_truck,1214_trailer,806_mclaren,806_spartan,806_lamborghini,806_performance,806_bugatti,810_electric car,810_motor,810_hybrid,810_prius,810_toyota,1317_morris,1317_smart,1317_mini,1317_buddy,1317_door lock,273_yamaha,273_harley davidson,273_motorcycles,273_motorcycle,273_harley,148_arctic cat,148_polaris,148_atv,148_ski doo,148_skidoo,1147_aircraft,1147_airplane,1147_titan,1147_cessna,1147_plane,1212_yamaha,1212_roller,1212_scooters,1212_vespa,1212_scooter,610_truck,610_ford,610_suv,610_dodge,610_vans,815_bmw,815_ford,815_toyota,815_dodge,815_honda,1294_points,1294_permis de conduire,1294_speeding ticket,1294_driving test,1294_speeding,170_address change,170_plate,170_license,170_driving,170_driving school,138_mechanic,138_tools,138_auto repair,138_apk,138_automotive,89_tires,89_auto parts,89_garmin,89_tire,89_parts,473_cars,473_autotrader,473_car,473_used,473_auto,803_auto show,803_home show,803_convention centre,803_car show,803_2010,121_super,121_circulaire,121_super c,121_grocery,121_iga,276_restaurants,276_pizza pizza,276_restaurant,276_pizza,276_tim hortons,650_home depot,650_doors,650_wood,650_air conditioner,650_portail,73_sears,73_walmart,73_canadian tire,73_store,73_walmart canada,355_livres,355_librairie,355_books,355_renaud,355_livre,1146_games,1146_game,1146_eb,1146_ebgames,1146_eb games,18_amazon,18_walmart,18_netflix,18_canadian tire,18_kijiji,1225_costco,1225_outlets,1225_wholesale,1225_costco hours,1225_outlet,270_light,270_ikea,270_lighting,270_ikea canada,270_furniture,659_shell,659_gas station,659_oil,659_alberta,659_gas,1268_costco,1268_gas prices,1268_costco gas,1268_gas,1268_gas buddy,38_desjardins,38_insurance,38_assurance,38_blue cross,38_saaq,844_scanner,844_display,844_barcode,844_rfid,844_pos,614_cineplex,614_centre bell,614_ticketmaster,614_vancouver,614_ticket
2004-01-01,9,15,9,3,13,53,61,56,69,78,65,69,13,74,15,39,8,37,40,14,15,25,29,21,36,7,23,19,6,22,79,82,21,36,27,51,79,44,44,29,81,10,37,77,34,3,84,16,36,23,43,11,67,28,21,59,52,76,67,52,63,71,65,31,33,94,30,18,100,15,28,26,25,14,22,56,53,37,35,18,4,65,67,63,70,34,13,14,5,24,30,22,19,53,35,38,70,29,0,82,24,61,12,19,66,100,38,84,87,62,98,44,99,70,0,10,1,3,9,7,24,13,36,14,11,19,47,72,0,2,56,12,19,30,19,52,81,62,33,51,18,45,12,25,11,6,11,1,12,0,11,7,72,0,16,32,18,79,23,86,80,4,52,50,58,0,3,0,4,0,20,62,40,67,10,100,100,44,67,62,19,61,41,64,70
2004-02-01,11,13,5,8,8,50,56,57,66,74,30,48,41,81,11,52,13,45,45,20,13,20,48,15,39,21,48,27,13,28,100,100,29,50,56,56,100,64,53,35,63,4,60,74,45,8,64,22,20,21,27,35,68,26,22,75,54,81,78,59,72,99,74,18,45,74,47,12,69,25,46,37,31,35,29,71,47,39,48,28,5,61,64,65,67,35,7,66,21,65,31,21,22,45,26,18,67,36,0,65,22,49,15,19,63,87,42,84,74,67,56,88,97,100,0,12,1,6,9,8,28,12,35,13,12,13,47,73,1,2,45,9,16,35,14,44,55,77,30,41,14,30,13,14,12,6,9,0,11,0,10,8,63,1,18,28,16,72,18,80,80,7,55,70,61,0,4,0,5,0,27,61,42,74,13,51,92,45,100,75,15,60,75,83,70
2004-03-01,11,13,6,4,10,62,67,65,86,81,9,54,11,62,12,63,19,68,61,33,22,26,29,32,32,21,42,29,16,38,69,77,31,78,34,100,80,78,43,42,30,24,64,100,6,2,74,22,73,43,58,21,83,21,53,90,74,97,80,78,62,64,81,14,20,65,30,8,44,15,82,58,51,62,46,79,53,32,47,48,5,70,70,72,84,34,25,53,13,84,22,11,19,47,30,28,93,11,0,76,24,85,23,20,75,98,46,90,90,68,25,81,59,47,0,9,0,4,9,7,24,17,34,17,11,15,49,83,3,0,38,11,17,32,19,56,48,75,34,27,16,14,15,23,14,6,11,0,12,0,10,7,59,1,27,27,17,69,20,87,83,9,63,71,65,0,7,0,7,0,20,67,48,81,14,62,82,48,93,73,33,61,57,70,59
2004-04-01,11,13,7,5,13,65,67,64,91,84,15,61,54,54,15,79,20,73,93,32,33,27,50,34,39,22,61,32,20,38,85,83,32,71,46,76,87,72,50,44,43,8,43,68,31,8,87,33,42,39,47,22,100,45,0,90,58,95,93,56,22,32,93,4,9,80,38,16,43,10,69,31,59,41,61,85,55,31,49,31,5,74,70,74,83,34,27,100,15,68,50,25,26,51,36,30,77,24,0,59,31,68,19,24,71,98,63,98,90,77,11,59,30,38,0,7,1,2,8,7,20,19,31,19,15,20,65,78,5,1,44,9,19,36,11,50,46,82,33,27,16,34,16,20,14,6,10,0,15,0,12,8,54,0,24,28,16,69,16,81,78,9,54,47,62,1,8,1,8,0,29,74,51,63,16,50,90,44,59,62,31,64,55,63,94
2004-05-01,13,14,7,6,10,59,70,61,91,79,32,46,16,70,8,74,31,89,80,42,31,33,47,41,36,20,58,37,26,50,52,69,28,63,56,61,79,80,56,48,68,20,74,81,23,10,84,53,55,51,27,43,52,32,38,96,65,100,95,68,25,27,92,2,7,66,49,12,60,18,83,41,100,64,74,71,45,24,68,29,5,66,75,66,84,30,72,38,46,56,57,25,26,47,40,34,72,31,0,100,30,63,22,22,73,98,58,95,90,80,4,8,72,23,0,7,1,1,10,5,22,16,33,16,13,17,55,85,12,1,44,10,26,27,14,36,52,68,26,31,18,30,17,25,15,6,10,0,17,0,12,10,70,0,18,23,14,69,15,75,85,8,58,57,70,0,29,0,28,2,27,74,43,72,16,37,86,73,80,71,23,26,41,66,45
2004-06-01,12,16,6,6,12,56,62,58,85,75,20,71,21,86,7,84,28,100,93,44,25,31,52,44,56,25,72,34,25,51,58,85,35,53,50,58,70,79,60,63,44,16,43,79,29,9,83,26,48,40,18,20,53,26,78,100,73,99,97,74,21,29,83,4,8,67,35,9,53,16,82,42,78,66,92,79,44,27,38,26,5,64,67,70,75,38,37,46,47,55,51,22,27,71,50,42,72,22,0,67,23,61,24,18,65,89,45,92,94,69,5,15,28,40,0,6,0,3,6,4,21,14,30,14,12,21,58,75,14,1,50,11,28,40,14,33,59,78,15,17,21,33,19,20,17,6,11,1,19,0,14,12,66,1,24,26,15,78,16,76,75,9,56,61,58,0,11,0,10,1,34,75,42,66,14,69,57,58,79,74,37,22,45,92,77
2004-07-01,16,17,7,5,13,57,77,55,88,80,14,42,52,100,13,70,26,94,100,49,26,46,82,50,72,38,86,44,34,61,74,70,24,52,44,67,57,73,45,48,64,17,49,85,43,6,61,22,37,33,42,18,64,35,20,90,68,96,100,63,14,25,81,3,7,58,34,20,53,19,86,20,79,76,92,71,45,29,47,47,5,68,85,62,88,60,32,96,74,77,48,31,32,64,42,27,68,48,0,72,28,61,21,23,70,92,60,100,100,75,3,15,12,40,0,10,1,4,11,3,19,14,32,14,13,24,57,74,12,1,57,12,24,34,19,25,58,90,29,21,23,30,22,34,21,7,12,0,19,0,14,15,90,0,33,28,20,76,27,89,71,8,51,62,48,0,8,0,7,0,26,69,46,86,19,56,57,37,76,78,28,20,36,100,59
2004-08-01,14,17,12,5,13,62,71,59,86,84,38,42,20,74,8,77,24,81,89,36,31,33,63,50,64,26,85,49,37,54,67,72,15,51,80,73,85,100,52,56,54,12,49,65,18,7,46,14,34,22,44,35,73,25,0,79,68,99,85,74,23,33,73,7,11,100,35,16,66,4,97,45,85,75,64,86,61,34,61,45,4,75,77,64,78,48,29,44,50,63,40,33,27,68,41,20,75,39,0,47,27,80,19,23,82,92,45,97,100,75,5,13,30,33,0,6,1,3,7,4,22,17,32,17,15,21,68,70,3,2,51,11,21,43,16,42,58,100,21,24,29,20,25,50,24,7,11,1,16,0,17,17,92,0,33,27,24,71,27,98,71,10,51,61,48,0,6,0,6,0,30,74,44,80,22,66,72,100,65,90,34,52,38,60,56
2004-09-01,12,15,10,5,11,65,67,59,77,77,35,48,18,55,10,63,15,57,73,31,15,20,51,36,43,18,63,26,15,35,55,45,8,36,87,51,55,50,39,44,57,8,55,65,17,2,76,26,36,28,46,49,67,29,17,75,42,83,81,47,30,34,74,10,21,76,42,16,48,19,55,37,82,52,70,87,46,26,30,35,5,76,72,73,68,71,38,57,21,60,60,23,23,60,36,34,74,33,0,81,29,61,22,26,63,86,52,85,78,71,7,50,100,24,0,6,0,2,9,4,23,16,32,15,14,16,52,84,2,1,52,11,18,38,15,40,100,99,35,30,30,50,30,60,28,6,11,0,14,0,12,13,78,0,24,24,19,84,24,86,86,6,53,65,50,0,6,0,6,2,34,64,47,80,13,60,77,66,53,56,17,41,52,86,61
2004-10-01,16,16,11,9,13,61,63,56,77,74,29,51,28,66,9,67,11,44,55,23,14,17,40,10,30,13,32,23,5,20,44,45,33,74,57,54,77,52,42,37,45,8,54,70,31,14,74,28,41,16,58,100,46,27,0,69,44,68,69,53,44,52,84,14,29,62,42,15,59,12,73,16,59,32,45,60,39,28,37,21,5,71,68,66,72,32,27,39,53,47,39,16,23,53,33,44,79,28,0,67,50,59,19,36,66,86,53,84,81,65,6,49,61,22,0,12,1,7,8,4,22,19,33,19,15,13,55,77,1,2,54,14,22,38,19,47,84,68,30,34,30,33,29,59,28,6,14,0,14,0,12,15,73,0,25,24,17,83,20,80,91,8,66,72,68,0,7,0,6,1,28,60,40,75,13,66,65,60,65,78,13,35,60,71,65
