date,841_No Frills,841_Flyer,841_Costco,841_Real Canadian Superstore,841_Canada,47_Ford,47_Car,47_Honda,47_Canada,47_Sales,1190_Ford,1190_Car,1190_General Motors,1190_Canada,1191_Mountain,1191_Motorcycle,1191_Mountain bike,1191_Bicycle,1191_Canada,1140_Kayak,1140_Outboard motor,1140_Boat,1140_KAYAK,1140_Sales,1213_Caravan,1213_Travel,1213_Trailer,1213_Recreational vehicle,1213_Sales,1013_Classic car,1013_Car,1013_Sales,1013_Auction,1013_Classic,1214_Ritchie Bros. Auctioneers,1214_Car,1214_Trailer,1214_Truck,1214_Sales,806_Lamborghini,806_Bugatti,806_Car,806_Truck,810_Car,810_Electric vehicle,810_Canada,810_Hybrid vehicle,810_Electric car,1317_Smart,1317_Door,1317_Car,1317_Lock,273_Motorcycle,273_Yamaha Motor Company,273_Harley-Davidson,273_Canada,273_Sales,148_Arctic Cat,148_Ski-Doo,148_Snowmobile,148_Polaris Inc.,1147_Aircraft,1147_Airplane,1147_Cessna,1147_Sales,1212_Motorcycle,1212_Scooter,1212_Vespa,1212_Canada,1212_Kick scooter,610_Ford,610_Van,610_Sport utility vehicle,610_Truck,610_Sales,815_Ford,815_Car,815_Honda,815_Canada,815_Sales,1294_Ontario,1294_Traffic ticket,1294_Test,1294_Driving,1294_Speed limit,170_License,170_Driving school,170_Driving,170_Vehicle registration plate,170_Driver's license,138_Code,138_Oil,138_Car,138_apk,89_Rim,89_Car,89_Wheel,89_Tire,89_Canada,473_Used car,473_Auto Trader Group,473_Car,473_Canada,473_Sales,803_Toronto,803_Auto show,803_Car,803_2010,803_Air show,121_Super C,121_IGA,121_Grocery store,121_IGA Extra,121_Circulaire,276_Toronto,276_Menu,276_Domino's Pizza,276_Restaurant,276_McDonald's,650_Door,650_The Home Depot,650_Canada,650_Wood,650_Air conditioning,73_Walmart,73_Canadian Tire,73_Calgary,73_Walmart Canada,73_Walmart Pharmacy,355_Bookstore,355_Renaud-Bray,355_Book,355_Archambault,1146_Game,1146_EB Games Australia,1146_Video game,1146_Canada,1146_EB Games,18_Walmart,18_Canadian Tire,18_Kijiji,18_Canada,18_Shoes,1225_Canada,1225_Costco,1225_Hour,1225_Wholesaling,1225_Outlet store,270_IKEA,270_Canada,270_Furniture,270_Light,659_Oil,659_Petroleum,659_Gas,659_Filling station,659_Gasoline,1268_Costco Gasoline,1268_GasBuddy,1268_Costco,1268_Price,1268_Gasoline,38_Insurance,38_Canada,38_Vehicle insurance,38_Desjardins Group,38_Ontario,844_Image scanner,844_Point of sale,844_Barcode,844_Canada,614_Vancouver,614_Ticket,614_Ticketmaster,614_Cineplex Entertainment,614_Centre Bell
2004-01-01,3,3,9,53,33,53,82,69,80,74,67,78,56,71,36,62,26,36,13,19,9,36,19,47,26,29,21,29,37,40,58,73,0,81,0,56,30,46,65,36,31,84,41,23,0,14,0,3,11,17,7,37,67,0,67,68,60,63,73,100,0,94,30,100,100,38,22,14,15,0,53,45,0,56,52,65,76,70,74,63,33,44,15,78,0,19,35,53,0,15,4,21,47,0,16,70,30,19,58,80,0,84,80,56,65,98,76,0,0,3,7,10,17,1,77,5,19,36,20,27,40,47,72,19,12,19,21,19,0,62,91,100,30,46,0,58,13,12,11,12,0,22,37,38,10,0,0,0,18,30,87,31,52,68,57,0,57,0,0,0,0,10,62,100,88,0,80,0,48,54,55,66,70,38,0,60
2004-02-01,8,2,11,36,29,50,84,66,85,69,47,66,29,67,49,0,48,45,19,16,40,38,16,54,14,32,28,44,41,48,79,37,99,98,0,81,36,53,56,61,45,69,27,17,0,9,31,8,35,34,29,19,78,0,42,77,41,72,100,96,0,74,47,69,0,52,29,35,15,0,47,42,0,71,32,61,84,67,80,68,67,18,15,77,12,22,26,45,0,12,23,25,35,0,26,72,32,19,67,77,0,84,71,58,100,56,100,0,2,6,8,8,35,1,78,5,15,35,25,25,41,41,73,18,9,16,23,14,2,50,83,75,17,31,0,49,16,12,9,11,0,20,37,38,10,0,0,32,16,25,81,28,55,86,61,0,44,0,0,0,4,21,61,88,75,0,67,0,33,61,100,84,70,71,0,59
2004-03-01,3,3,10,30,28,62,87,86,94,74,52,53,59,65,55,26,55,65,28,31,27,32,31,66,6,46,37,36,40,33,64,45,81,74,0,56,42,41,54,61,7,72,37,19,22,8,0,2,21,42,12,46,80,0,73,84,100,62,51,42,0,65,30,44,45,48,46,62,35,0,53,64,0,79,39,70,100,84,89,37,69,45,9,72,0,19,30,47,0,12,19,11,33,0,29,87,31,20,71,82,0,90,76,56,63,25,52,0,8,4,7,9,43,0,78,6,20,34,25,22,25,44,83,13,11,17,29,19,0,53,76,95,38,14,0,24,12,15,11,12,0,21,44,26,10,0,0,29,17,27,85,27,64,88,66,0,42,0,0,0,5,25,67,88,18,0,78,0,80,45,31,72,57,57,0,61
2004-04-01,5,3,12,34,30,64,94,91,92,86,59,100,66,85,92,21,77,74,24,35,66,39,35,44,23,61,39,29,52,100,100,36,0,92,0,68,42,51,60,41,31,84,34,22,35,11,60,8,22,17,21,19,93,0,33,85,60,22,27,21,0,80,38,43,46,51,61,41,34,34,55,65,0,85,31,74,92,83,85,78,65,45,27,80,12,26,36,51,0,13,11,31,51,0,32,100,49,24,74,85,0,98,87,58,46,11,41,0,11,2,7,8,17,1,77,5,17,31,20,29,20,41,78,17,9,19,31,11,2,53,20,86,30,35,0,58,21,14,10,15,0,22,49,46,12,0,100,39,16,23,81,28,54,81,61,0,57,0,1,1,6,25,75,85,74,0,91,0,48,42,37,65,91,54,0,65
2004-05-01,6,3,14,37,35,58,100,91,97,85,48,76,17,46,89,55,82,91,29,40,62,36,40,78,25,45,50,51,66,71,71,32,86,98,0,100,51,54,72,73,25,100,10,38,23,17,27,10,43,45,47,82,95,0,52,89,53,25,10,15,0,66,49,60,48,45,74,64,63,0,45,68,0,71,46,66,100,84,92,63,75,71,29,100,20,26,40,47,100,19,33,28,58,0,43,91,39,22,72,83,0,95,100,60,29,4,42,0,24,1,5,8,15,1,74,6,17,33,22,29,53,54,85,40,10,26,24,14,0,58,18,83,19,29,0,77,10,14,10,17,0,21,45,46,12,0,0,14,14,24,74,23,59,67,69,0,55,0,2,0,22,62,74,96,39,18,84,0,92,75,81,66,46,42,0,26
2004-06-01,6,3,12,50,34,56,91,83,90,79,69,52,77,69,100,38,100,100,32,45,97,56,45,67,21,74,51,53,42,67,80,100,0,98,0,41,64,61,60,41,29,87,31,20,49,14,28,9,20,62,20,85,97,0,15,86,46,21,15,10,0,67,35,53,25,35,92,66,43,0,44,69,0,79,38,64,83,75,84,82,60,49,30,68,11,27,50,71,0,18,17,25,45,0,25,85,29,18,59,81,0,92,86,55,15,5,68,0,41,3,4,6,16,0,82,6,18,30,31,28,0,55,75,44,11,28,28,14,0,69,65,87,10,32,0,35,12,17,11,19,0,22,43,45,14,0,0,36,15,24,75,25,54,92,57,0,66,0,2,0,6,32,75,89,41,19,90,0,59,50,79,92,77,45,0,21
2004-07-01,5,3,15,57,34,58,94,89,100,100,44,28,91,82,88,0,91,97,49,49,55,72,49,82,41,65,61,28,86,77,78,70,31,92,0,54,48,45,53,47,43,78,40,19,26,13,29,6,18,16,23,36,100,100,80,77,48,14,8,6,0,58,34,53,35,24,92,76,58,0,45,55,100,71,100,68,91,88,95,75,85,51,50,61,22,32,42,64,0,22,18,23,40,0,18,98,37,23,69,97,100,100,86,71,16,3,63,0,65,4,3,11,16,1,83,7,12,32,25,32,19,48,74,53,12,24,25,19,0,57,39,81,24,31,0,46,27,22,12,19,0,24,40,53,14,0,0,60,20,33,88,28,50,61,47,0,28,0,0,0,4,24,69,89,0,0,100,0,100,41,59,100,57,35,0,20
2004-08-01,6,3,14,58,39,62,95,87,94,93,40,44,25,49,83,18,77,82,37,49,100,64,49,100,27,69,54,76,63,29,48,64,28,100,0,69,56,55,62,45,18,76,26,19,8,16,26,7,35,0,25,0,85,0,88,75,53,23,14,20,0,100,35,66,40,100,64,75,100,30,61,87,0,86,82,75,85,78,91,85,74,86,41,52,30,27,41,68,0,19,20,21,47,0,22,97,31,23,70,100,91,97,88,57,24,5,52,0,100,3,4,7,15,1,81,5,17,32,20,33,0,51,70,29,11,21,37,16,2,52,71,88,19,17,0,25,35,25,12,16,0,25,56,62,17,0,0,48,24,38,97,26,51,66,48,0,50,0,1,0,4,9,74,93,90,0,80,0,42,100,64,60,55,37,0,52
2004-09-01,5,3,12,48,33,68,84,78,88,87,50,57,75,79,64,100,56,58,30,36,46,44,36,70,13,42,36,46,46,85,93,87,26,80,0,54,44,39,61,55,17,77,15,15,21,15,24,2,49,27,50,15,81,0,100,68,24,30,32,36,0,76,42,48,36,61,70,52,45,0,46,56,0,87,75,76,83,68,86,57,71,29,22,47,18,23,36,60,0,14,9,27,41,0,17,79,39,26,67,72,0,85,75,55,57,7,39,0,44,2,4,11,0,0,75,5,17,32,20,29,0,45,84,13,11,18,27,15,0,100,57,90,33,45,0,46,33,27,11,15,0,23,49,50,11,0,0,25,19,28,85,24,52,80,49,0,54,0,1,0,3,20,65,82,59,17,78,0,13,67,49,87,62,51,0,42
2004-10-01,9,3,16,57,33,62,87,78,85,70,53,68,44,71,50,0,49,43,25,10,14,31,10,51,22,27,20,34,30,68,69,0,51,64,0,27,38,41,34,53,31,70,12,28,21,9,47,14,100,27,100,15,69,0,20,59,63,44,41,49,100,62,42,59,36,40,45,32,48,0,39,52,0,60,16,71,80,72,85,62,54,49,33,79,18,23,33,53,0,14,20,29,46,0,34,69,28,36,79,78,82,84,75,63,63,6,31,0,0,7,4,12,0,1,73,5,22,33,20,26,0,39,77,20,14,22,31,19,2,47,96,81,28,33,0,30,31,29,14,14,0,22,43,43,13,0,0,25,17,25,78,24,65,66,68,0,49,0,1,0,5,28,60,74,35,0,66,100,57,62,72,73,64,59,0,35
